Date,IG
2023-11-15 00:00:00+00:00,-0.01095090
2023-11-16 00:00:00+00:00,0.01600873
2023-11-17 00:00:00+00:00,0.00542965
2023-11-20 00:00:00+00:00,0.00859566
2023-11-21 00:00:00+00:00,-0.00031272
2023-11-22 00:00:00+00:00,0.00594392
2023-11-23 00:00:00+00:00,-0.00015461
2023-11-24 00:00:00+00:00,-0.01128459
2023-11-27 00:00:00+00:00,0.01763178
2023-11-28 00:00:00+00:00,0.00519731
2023-11-29 00:00:00+00:00,0.01578266
2023-11-30 00:00:00+00:00,-0.00985735
2023-12-01 00:00:00+00:00,0.02426151
2023-12-04 00:00:00+00:00,-0.00785893
2023-12-05 00:00:00+00:00,0.01554836
2023-12-06 00:00:00+00:00,0.00621641
2023-12-07 00:00:00+00:00,0.00068773
2023-12-08 00:00:00+00:00,-0.01323114
2023-12-11 00:00:00+00:00,-0.00300250
2023-12-12 00:00:00+00:00,0.01125673
2023-12-13 00:00:00+00:00,0.03158762
2023-12-14 00:00:00+00:00,0.02096125
2023-12-15 00:00:00+00:00,-0.00097405
2023-12-18 00:00:00+00:00,-0.00926494
2023-12-19 00:00:00+00:00,0.00292255
2023-12-20 00:00:00+00:00,0.00628928
2023-12-21 00:00:00+00:00,-0.00396320
2023-12-22 00:00:00+00:00,-0.00471943
2023-12-26 00:00:00+00:00,-0.00015305
2023-12-27 00:00:00+00:00,0.01754800
2023-12-28 00:00:00+00:00,-0.00253284
2023-12-29 00:00:00+00:00,-0.00683197
2024-01-02 00:00:00+00:00,-0.01601793
2024-01-03 00:00:00+00:00,-0.00548170
2024-01-04 00:00:00+00:00,-0.01000625
2024-01-05 00:00:00+00:00,-0.00279937
2024-01-08 00:00:00+00:00,0.01194029
2024-01-09 00:00:00+00:00,0.00345241
2024-01-10 00:00:00+00:00,-0.00330307
2024-01-11 00:00:00+00:00,0.01321709
2024-01-12 00:00:00+00:00,0.00536885
2024-01-15 00:00:00+00:00,-0.00015272
2024-01-16 00:00:00+00:00,-0.01860295
