Date,MSCIEAFA
2011-02-08 00:00:00+00:00,0.01725689
2011-02-09 00:00:00+00:00,-0.00367644
2011-02-10 00:00:00+00:00,-0.01718372
2011-02-11 00:00:00+00:00,0.00344090
2011-02-14 00:00:00+00:00,0.00020916
2011-02-15 00:00:00+00:00,-0.00267105
2011-02-16 00:00:00+00:00,0.02108732
2011-02-17 00:00:00+00:00,0.00682787
2011-02-18 00:00:00+00:00,0.01089959
2011-02-22 00:00:00+00:00,-0.05851189
2011-02-23 00:00:00+00:00,0.00114391
2011-02-24 00:00:00+00:00,-0.00095325
2011-02-25 00:00:00+00:00,0.02643058
2011-02-28 00:00:00+00:00,0.02090963
2011-03-01 00:00:00+00:00,-0.04236203
2011-03-02 00:00:00+00:00,0.01016950
2011-03-03 00:00:00+00:00,0.03051189
2011-03-04 00:00:00+00:00,-0.01874683
2011-03-07 00:00:00+00:00,-0.02270412
2011-03-08 00:00:00+00:00,0.01039736
2011-03-09 00:00:00+00:00,-0.00757472
2011-03-10 00:00:00+00:00,-0.04652359
2011-03-11 00:00:00+00:00,0.00300265
2011-03-14 00:00:00+00:00,-0.03698716
2011-03-15 00:00:00+00:00,-0.04577165
2011-03-16 00:00:00+00:00,-0.04403301
2011-03-17 00:00:00+00:00,0.06172694
2011-03-18 00:00:00+00:00,0.03292710
2011-03-21 00:00:00+00:00,0.05309796
2011-03-22 00:00:00+00:00,-0.00542329
2011-03-23 00:00:00+00:00,-0.00122492
2011-03-24 00:00:00+00:00,0.02985193
2011-03-25 00:00:00+00:00,-0.02280709
2011-03-28 00:00:00+00:00,-0.00314164
2011-03-29 00:00:00+00:00,0.01560989
2011-03-30 00:00:00+00:00,0.02276631
2011-03-31 00:00:00+00:00,-0.01016511
2011-04-01 00:00:00+00:00,0.01942420
2011-04-04 00:00:00+00:00,0.00479505
2011-04-05 00:00:00+00:00,-0.01056232
2011-04-06 00:00:00+00:00,0.01764385
2011-04-07 00:00:00+00:00,-0.00515513
2011-04-08 00:00:00+00:00,0.01589660
2011-04-11 00:00:00+00:00,-0.00652094
2011-04-12 00:00:00+00:00,-0.01830713
2011-04-13 00:00:00+00:00,0.00609342
2011-04-14 00:00:00+00:00,0.00853555
2011-04-15 00:00:00+00:00,-0.00188708
2011-04-18 00:00:00+00:00,-0.04347256
2011-04-19 00:00:00+00:00,0.01502508
2011-04-20 00:00:00+00:00,0.05568057
2011-04-21 00:00:00+00:00,0.00828201
2011-04-25 00:00:00+00:00,0.00629583
2011-04-26 00:00:00+00:00,0.01211317
2011-04-27 00:00:00+00:00,0.02489640
2011-04-28 00:00:00+00:00,0.01425207
2011-04-29 00:00:00+00:00,0.00522488
2011-05-02 00:00:00+00:00,-0.00146569
2011-05-03 00:00:00+00:00,-0.01583263
2011-05-04 00:00:00+00:00,-0.01876497
2011-05-05 00:00:00+00:00,-0.03605227
2011-05-06 00:00:00+00:00,-0.01005765
2011-05-09 00:00:00+00:00,0.02155319
2011-05-10 00:00:00+00:00,0.02166659
2011-05-11 00:00:00+00:00,-0.04031381
2011-05-12 00:00:00+00:00,0.00890114
2011-05-13 00:00:00+00:00,-0.04222836
2011-05-16 00:00:00+00:00,-0.00072557
2011-05-17 00:00:00+00:00,0.00363437
2011-05-18 00:00:00+00:00,0.01409768
2011-05-19 00:00:00+00:00,0.00909228
2011-05-20 00:00:00+00:00,-0.02781159
2011-05-23 00:00:00+00:00,-0.04011375
2011-05-24 00:00:00+00:00,0.00915642
2011-05-25 00:00:00+00:00,0.01380173
2011-05-26 00:00:00+00:00,0.02707536
2011-05-27 00:00:00+00:00,0.00798873
2011-05-31 00:00:00+00:00,0.04261732
2011-06-01 00:00:00+00:00,-0.04809786
2011-06-02 00:00:00+00:00,0.01270321
2011-06-03 00:00:00+00:00,0.00009805
2011-06-06 00:00:00+00:00,-0.02565236
2011-06-07 00:00:00+00:00,0.01634306
2011-06-08 00:00:00+00:00,-0.02877370
2011-06-09 00:00:00+00:00,0.02432884
2011-06-10 00:00:00+00:00,-0.04653762
2011-06-13 00:00:00+00:00,0.00378484
2011-06-14 00:00:00+00:00,0.03758221
2011-06-15 00:00:00+00:00,-0.06667440
2011-06-16 00:00:00+00:00,-0.00760051
2011-06-17 00:00:00+00:00,0.02131514
2011-06-20 00:00:00+00:00,-0.00404180
2011-06-21 00:00:00+00:00,0.04249291
2011-06-22 00:00:00+00:00,-0.02131028
2011-06-23 00:00:00+00:00,-0.01646127
2011-06-24 00:00:00+00:00,-0.01806068
2011-06-27 00:00:00+00:00,0.01548151
2011-06-28 00:00:00+00:00,0.02415109
2011-06-29 00:00:00+00:00,0.03833620
2011-06-30 00:00:00+00:00,0.03063233
2011-07-01 00:00:00+00:00,0.01991273
2011-07-05 00:00:00+00:00,-0.00971231
2011-07-06 00:00:00+00:00,-0.01370261
2011-07-07 00:00:00+00:00,0.01808024
2011-07-08 00:00:00+00:00,-0.02594020
2011-07-11 00:00:00+00:00,-0.05641108
2011-07-12 00:00:00+00:00,-0.01835639
2011-07-13 00:00:00+00:00,0.02871679
2011-07-14 00:00:00+00:00,-0.01382214
2011-07-15 00:00:00+00:00,0.00638777
2011-07-18 00:00:00+00:00,-0.03797008
2011-07-19 00:00:00+00:00,0.03486009
2011-07-20 00:00:00+00:00,0.02376065
2011-07-21 00:00:00+00:00,0.04507220
2011-07-22 00:00:00+00:00,-0.00095227
2011-07-25 00:00:00+00:00,-0.01110691
2011-07-26 00:00:00+00:00,0.00678714
