Date,BBCOMM
2008-02-28 00:00:00+00:00,0.01542690
2008-02-29 00:00:00+00:00,-0.00836395
2008-03-03 00:00:00+00:00,0.07891540
2008-03-04 00:00:00+00:00,-0.03856611
2008-03-05 00:00:00+00:00,0.05091076
2008-03-06 00:00:00+00:00,-0.03153608
2008-03-07 00:00:00+00:00,-0.02495413
2008-03-10 00:00:00+00:00,0.01209997
2008-03-11 00:00:00+00:00,0.01852150
2008-03-12 00:00:00+00:00,0.00688341
2008-03-13 00:00:00+00:00,0.00317448
2008-03-14 00:00:00+00:00,-0.01420717
2008-03-17 00:00:00+00:00,-0.04965672
2008-03-18 00:00:00+00:00,0.02681931
2008-03-19 00:00:00+00:00,-0.04564418
2008-03-20 00:00:00+00:00,-0.01993712
2008-03-24 00:00:00+00:00,0.01216623
2008-03-25 00:00:00+00:00,0.02155079
2008-03-26 00:00:00+00:00,0.01667262
2008-03-27 00:00:00+00:00,0.00528130
2008-03-28 00:00:00+00:00,-0.01397981
2008-03-31 00:00:00+00:00,-0.01953921
2008-04-01 00:00:00+00:00,-0.00799402
2008-04-02 00:00:00+00:00,0.02001276
2008-04-03 00:00:00+00:00,-0.00593472
2008-04-04 00:00:00+00:00,0.01479307
2008-04-07 00:00:00+00:00,0.01019116
2008-04-08 00:00:00+00:00,-0.00582314
2008-04-09 00:00:00+00:00,0.02566765
2008-04-10 00:00:00+00:00,-0.00192445
2008-04-11 00:00:00+00:00,-0.00713814
2008-04-14 00:00:00+00:00,0.00569589
2008-04-15 00:00:00+00:00,0.00755874
2008-04-16 00:00:00+00:00,0.01503550
2008-04-17 00:00:00+00:00,-0.00467294
2008-04-18 00:00:00+00:00,-0.00143434
2008-04-21 00:00:00+00:00,-0.00983546
2008-04-22 00:00:00+00:00,0.01410233
2008-04-23 00:00:00+00:00,-0.00003347
2008-04-24 00:00:00+00:00,-0.01583342
2008-04-25 00:00:00+00:00,0.00562822
2008-04-28 00:00:00+00:00,0.00418730
2008-04-29 00:00:00+00:00,-0.02107884
2008-04-30 00:00:00+00:00,-0.00242444
2008-05-01 00:00:00+00:00,-0.02157974
2008-05-02 00:00:00+00:00,0.01806051
2008-05-05 00:00:00+00:00,0.03791919
2008-05-06 00:00:00+00:00,-0.01439644
2008-05-07 00:00:00+00:00,0.00512077
2008-05-08 00:00:00+00:00,0.00088958
2008-05-09 00:00:00+00:00,0.01162509
2008-05-12 00:00:00+00:00,-0.00512545
2008-05-13 00:00:00+00:00,0.00319675
2008-05-14 00:00:00+00:00,-0.00282351
2008-05-15 00:00:00+00:00,-0.00932200
2008-05-16 00:00:00+00:00,0.01352029
2008-05-19 00:00:00+00:00,-0.00928417
2008-05-20 00:00:00+00:00,0.01159916
2008-05-21 00:00:00+00:00,0.01653153
2008-05-22 00:00:00+00:00,-0.03493996
2008-05-23 00:00:00+00:00,0.03140498
2008-05-27 00:00:00+00:00,-0.01325162
2008-05-28 00:00:00+00:00,0.00317739
2008-05-29 00:00:00+00:00,-0.02947709
2008-05-30 00:00:00+00:00,0.01463290
2008-06-02 00:00:00+00:00,0.00695294
2008-06-03 00:00:00+00:00,-0.03527515
2008-06-04 00:00:00+00:00,0.01032028
2008-06-05 00:00:00+00:00,0.04499192
2008-06-06 00:00:00+00:00,0.05409607
2008-06-09 00:00:00+00:00,-0.02508053
2008-06-10 00:00:00+00:00,-0.01408839
2008-06-11 00:00:00+00:00,0.05600241
2008-06-12 00:00:00+00:00,-0.00006152
2008-06-13 00:00:00+00:00,-0.00005403
2008-06-16 00:00:00+00:00,0.00924693
2008-06-17 00:00:00+00:00,0.00038448
2008-06-18 00:00:00+00:00,0.01880701
2008-06-19 00:00:00+00:00,-0.01856263
2008-06-20 00:00:00+00:00,0.00959829
2008-06-23 00:00:00+00:00,-0.00135488
2008-06-24 00:00:00+00:00,-0.00439958
2008-06-25 00:00:00+00:00,-0.00223325
2008-06-26 00:00:00+00:00,0.02315810
2008-06-27 00:00:00+00:00,0.00295029
2008-06-30 00:00:00+00:00,-0.00559274
2008-07-01 00:00:00+00:00,0.00767104
2008-07-02 00:00:00+00:00,0.01314766
2008-07-03 00:00:00+00:00,-0.00803361
2008-07-07 00:00:00+00:00,-0.01910958
2008-07-08 00:00:00+00:00,-0.02682168
2008-07-09 00:00:00+00:00,0.00083828
2008-07-10 00:00:00+00:00,0.01945813
2008-07-11 00:00:00+00:00,0.00300084
2008-07-14 00:00:00+00:00,-0.00437449
2008-07-15 00:00:00+00:00,-0.02441838
2008-07-16 00:00:00+00:00,-0.01030064
2008-07-17 00:00:00+00:00,-0.02799089
2008-07-18 00:00:00+00:00,-0.01024408
2008-07-21 00:00:00+00:00,-0.00097637
2008-07-22 00:00:00+00:00,-0.01458298
2008-07-23 00:00:00+00:00,-0.02050881
2008-07-24 00:00:00+00:00,-0.00539013
2008-07-25 00:00:00+00:00,-0.00346700
2008-07-28 00:00:00+00:00,0.00632630
2008-07-29 00:00:00+00:00,-0.01076283
2008-07-30 00:00:00+00:00,0.01423243
2008-07-31 00:00:00+00:00,-0.00538550
2008-08-01 00:00:00+00:00,-0.00199759
2008-08-04 00:00:00+00:00,-0.03916619
2008-08-05 00:00:00+00:00,-0.00259203
2008-08-06 00:00:00+00:00,-0.00769778
2008-08-07 00:00:00+00:00,0.00509555
2008-08-08 00:00:00+00:00,-0.03329419
2008-08-11 00:00:00+00:00,-0.00322377
2008-08-12 00:00:00+00:00,-0.00482790
2008-08-13 00:00:00+00:00,0.02821625
2008-08-14 00:00:00+00:00,-0.00886826
2008-08-15 00:00:00+00:00,-0.01993529
2008-08-18 00:00:00+00:00,0.00689226
2008-08-19 00:00:00+00:00,0.00737409
2008-08-20 00:00:00+00:00,0.00784863
2008-08-21 00:00:00+00:00,0.03389589
2008-08-22 00:00:00+00:00,-0.02883455
2008-08-25 00:00:00+00:00,0.00099421
2008-08-26 00:00:00+00:00,0.00514828
2008-08-27 00:00:00+00:00,0.00408895
2008-08-28 00:00:00+00:00,-0.01703141
2008-08-29 00:00:00+00:00,-0.00685295
2008-09-02 00:00:00+00:00,-0.03325603
2008-09-03 00:00:00+00:00,-0.00604407
2008-09-04 00:00:00+00:00,-0.00388552
