Date,LEANHOG
2000-12-07 00:00:00+00:00,-0.00867378
2000-12-08 00:00:00+00:00,-0.00145307
2000-12-11 00:00:00+00:00,-0.00531964
2000-12-12 00:00:00+00:00,-0.01099502
2000-12-13 00:00:00+00:00,0.00260595
2000-12-14 00:00:00+00:00,-0.00829512
2000-12-15 00:00:00+00:00,-0.00946812
2000-12-18 00:00:00+00:00,0.00344430
2000-12-19 00:00:00+00:00,-0.02964545
2000-12-20 00:00:00+00:00,-0.00547565
2000-12-21 00:00:00+00:00,-0.00862911
2000-12-22 00:00:00+00:00,0.01539029
2000-12-26 00:00:00+00:00,-0.01560035
2000-12-27 00:00:00+00:00,-0.00801569
2000-12-28 00:00:00+00:00,0.00486817
2000-12-29 00:00:00+00:00,0.00939181
2001-01-02 00:00:00+00:00,0.02506211
2001-01-03 00:00:00+00:00,-0.01388483
2001-01-04 00:00:00+00:00,0.02446518
2001-01-05 00:00:00+00:00,0.00101453
2001-01-08 00:00:00+00:00,-0.01116940
2001-01-09 00:00:00+00:00,0.00897014
2001-01-10 00:00:00+00:00,-0.01745693
2001-01-11 00:00:00+00:00,0.02265072
2001-01-12 00:00:00+00:00,-0.00425891
2001-01-16 00:00:00+00:00,-0.00393659
2001-01-17 00:00:00+00:00,0.03608532
2001-01-18 00:00:00+00:00,-0.00969771
2001-01-19 00:00:00+00:00,0.01320137
2001-01-22 00:00:00+00:00,0.00114967
2001-01-23 00:00:00+00:00,-0.04550027
2001-01-24 00:00:00+00:00,-0.00820739
2001-01-25 00:00:00+00:00,0.00929289
2001-01-26 00:00:00+00:00,0.03060227
2001-01-29 00:00:00+00:00,-0.01780071
2001-01-30 00:00:00+00:00,0.00427992
2001-01-31 00:00:00+00:00,0.00035467
2001-02-01 00:00:00+00:00,0.03797547
2001-02-02 00:00:00+00:00,-0.00526110
2001-02-05 00:00:00+00:00,-0.00254448
2001-02-06 00:00:00+00:00,0.00306789
2001-02-07 00:00:00+00:00,-0.01887349
2001-02-08 00:00:00+00:00,-0.00626795
2001-02-09 00:00:00+00:00,-0.00578626
2001-02-12 00:00:00+00:00,-0.00824604
2001-02-13 00:00:00+00:00,0.01664563
2001-02-14 00:00:00+00:00,0.03009579
2001-02-15 00:00:00+00:00,0.00815148
2001-02-16 00:00:00+00:00,0.01817041
2001-02-20 00:00:00+00:00,0.00506942
2001-02-21 00:00:00+00:00,0.01358486
2001-02-22 00:00:00+00:00,0.00503437
2001-02-23 00:00:00+00:00,0.00799094
2001-02-26 00:00:00+00:00,-0.00635614
2001-02-27 00:00:00+00:00,-0.00325908
2001-02-28 00:00:00+00:00,0.00346235
2001-03-01 00:00:00+00:00,0.03039865
2001-03-02 00:00:00+00:00,-0.00167560
2001-03-05 00:00:00+00:00,0.02423152
2001-03-06 00:00:00+00:00,0.01012947
2001-03-07 00:00:00+00:00,-0.00699887
2001-03-08 00:00:00+00:00,-0.01391091
2001-03-09 00:00:00+00:00,0.00604257
2001-03-12 00:00:00+00:00,0.00294761
2001-03-13 00:00:00+00:00,0.02162839
2001-03-14 00:00:00+00:00,0.03029766
2001-03-15 00:00:00+00:00,0.00494006
2001-03-16 00:00:00+00:00,0.00002429
2001-03-19 00:00:00+00:00,-0.05439957
2001-03-20 00:00:00+00:00,-0.04356821
2001-03-21 00:00:00+00:00,0.01537320
2001-03-22 00:00:00+00:00,0.03307332
2001-03-23 00:00:00+00:00,0.04429066
2001-03-26 00:00:00+00:00,-0.02256812
2001-03-27 00:00:00+00:00,0.02280192
2001-03-28 00:00:00+00:00,-0.04049605
2001-03-29 00:00:00+00:00,0.00003347
2001-03-30 00:00:00+00:00,0.00322820
2001-04-02 00:00:00+00:00,0.06028690
2001-04-03 00:00:00+00:00,0.00838771
2001-04-04 00:00:00+00:00,0.01699106
2001-04-05 00:00:00+00:00,0.01078602
2001-04-06 00:00:00+00:00,-0.02760836
2001-04-09 00:00:00+00:00,0.00237522
2001-04-10 00:00:00+00:00,0.00179223
2001-04-11 00:00:00+00:00,-0.00260195
2001-04-12 00:00:00+00:00,0.00751293
2001-04-16 00:00:00+00:00,0.03052065
2001-04-17 00:00:00+00:00,-0.00587706
2001-04-18 00:00:00+00:00,-0.03296084
2001-04-19 00:00:00+00:00,0.00793846
2001-04-20 00:00:00+00:00,0.01712643
2001-04-23 00:00:00+00:00,0.00206510
2001-04-24 00:00:00+00:00,-0.03040751
2001-04-25 00:00:00+00:00,-0.05849947
2001-04-26 00:00:00+00:00,0.00711260
2001-04-27 00:00:00+00:00,-0.00309471
2001-04-30 00:00:00+00:00,-0.03989797
2001-05-01 00:00:00+00:00,0.01784771
2001-05-02 00:00:00+00:00,-0.03662398
2001-05-03 00:00:00+00:00,0.01017076
2001-05-04 00:00:00+00:00,0.00797058
2001-05-07 00:00:00+00:00,0.00247518
2001-05-08 00:00:00+00:00,-0.00343164
2001-05-09 00:00:00+00:00,-0.02186744
2001-05-10 00:00:00+00:00,0.04384504
2001-05-11 00:00:00+00:00,-0.00797297
2001-05-14 00:00:00+00:00,0.00218750
2001-05-15 00:00:00+00:00,-0.01583904
2001-05-16 00:00:00+00:00,-0.01622258
2001-05-17 00:00:00+00:00,0.01762884
2001-05-18 00:00:00+00:00,-0.00546346
