Date,BB3M
2023-03-21 00:00:00+00:00,-0.00715592
2023-03-22 00:00:00+00:00,0.00036705
2023-03-23 00:00:00+00:00,0.00691317
2023-03-24 00:00:00+00:00,0.00083560
2023-03-27 00:00:00+00:00,-0.00542968
2023-03-28 00:00:00+00:00,-0.00178038
2023-03-29 00:00:00+00:00,-0.00057667
2023-03-30 00:00:00+00:00,-0.00083888
2023-03-31 00:00:00+00:00,-0.00031471
2023-04-03 00:00:00+00:00,0.00173119
2023-04-04 00:00:00+00:00,0.00366703
2023-04-05 00:00:00+00:00,0.00230065
2023-04-06 00:00:00+00:00,-0.00224543
2023-04-10 00:00:00+00:00,-0.00470539
2023-04-11 00:00:00+00:00,-0.00026204
2023-04-12 00:00:00+00:00,0.00162508
2023-04-13 00:00:00+00:00,0.00068088
2023-04-14 00:00:00+00:00,-0.00371650
2023-04-17 00:00:00+00:00,-0.00141628
2023-04-18 00:00:00+00:00,-0.00073502
2023-04-19 00:00:00+00:00,-0.00147051
2023-04-20 00:00:00+00:00,0.00126150
2023-04-21 00:00:00+00:00,-0.00031516
2023-04-24 00:00:00+00:00,0.00057788
2023-04-25 00:00:00+00:00,0.00178543
2023-04-26 00:00:00+00:00,0.00120653
2023-04-27 00:00:00+00:00,-0.00309241
2023-04-28 00:00:00+00:00,0.00021002
2023-05-01 00:00:00+00:00,-0.00173247
2023-05-02 00:00:00+00:00,0.00283762
2023-05-03 00:00:00+00:00,-0.00020991
2023-05-04 00:00:00+00:00,0.00519412
2023-05-05 00:00:00+00:00,-0.00287717
2023-05-08 00:00:00+00:00,-0.00251612
2023-05-09 00:00:00+00:00,-0.00062986
2023-05-10 00:00:00+00:00,0.00188986
2023-05-11 00:00:00+00:00,-0.00031460
2023-05-12 00:00:00+00:00,-0.00136347
2023-05-15 00:00:00+00:00,-0.00041984
2023-05-16 00:00:00+00:00,-0.00136476
2023-05-17 00:00:00+00:00,-0.00089300
2023-05-18 00:00:00+00:00,-0.00231275
2023-05-19 00:00:00+00:00,-0.00005263
2023-05-22 00:00:00+00:00,-0.00068425
2023-05-23 00:00:00+00:00,-0.00073715
2023-05-24 00:00:00+00:00,-0.00252831
2023-05-25 00:00:00+00:00,-0.00147648
2023-05-26 00:00:00+00:00,-0.00163623
2023-05-30 00:00:00+00:00,0.00084558
2023-05-31 00:00:00+00:00,0.00137326
2023-06-01 00:00:00+00:00,0.00089729
2023-06-02 00:00:00+00:00,-0.00274319
2023-06-05 00:00:00+00:00,0.00021136
2023-06-06 00:00:00+00:00,-0.00010567
2023-06-07 00:00:00+00:00,-0.00015853
2023-06-08 00:00:00+00:00,-0.00005285
2023-06-09 00:00:00+00:00,-0.00095132
2023-06-12 00:00:00+00:00,-0.00037021
2023-06-13 00:00:00+00:00,-0.00126957
2023-06-14 00:00:00+00:00,-0.00079432
2023-06-15 00:00:00+00:00,-0.00010597
2023-06-16 00:00:00+00:00,-0.00000000
2023-06-20 00:00:00+00:00,0.00002649
2023-06-21 00:00:00+00:00,0.00031790
2023-06-22 00:00:00+00:00,-0.00074164
2023-06-23 00:00:00+00:00,0.00079508
2023-06-26 00:00:00+00:00,-0.00021193
2023-06-27 00:00:00+00:00,-0.00045040
2023-06-28 00:00:00+00:00,-0.00023856
2023-06-29 00:00:00+00:00,-0.00164343
2023-06-30 00:00:00+00:00,0.00074298
2023-07-05 00:00:00+00:00,0.00005305
2023-07-06 00:00:00+00:00,-0.00103448
2023-07-07 00:00:00+00:00,0.00037159
2023-07-10 00:00:00+00:00,0.00026536
2023-07-11 00:00:00+00:00,-0.00053062
2023-07-12 00:00:00+00:00,0.00122087
2023-07-13 00:00:00+00:00,0.00095470
2023-07-14 00:00:00+00:00,-0.00084800
2023-07-17 00:00:00+00:00,0.00010606
2023-07-18 00:00:00+00:00,-0.00000000
2023-07-19 00:00:00+00:00,0.00005303
2023-07-20 00:00:00+00:00,-0.00039771
2023-07-21 00:00:00+00:00,0.00021219
2023-07-24 00:00:00+00:00,-0.00042434
2023-07-25 00:00:00+00:00,0.00000000
2023-07-26 00:00:00+00:00,0.00068973
2023-07-27 00:00:00+00:00,-0.00037123
2023-07-28 00:00:00+00:00,0.00037139
2023-07-31 00:00:00+00:00,0.00000000
2023-08-01 00:00:00+00:00,0.00015913
2023-08-02 00:00:00+00:00,0.00021213
2023-08-03 00:00:00+00:00,-0.00037118
2023-08-04 00:00:00+00:00,0.00074259
2023-08-07 00:00:00+00:00,0.00010602
2023-08-08 00:00:00+00:00,-0.00021202
2023-08-09 00:00:00+00:00,-0.00010603
2023-08-10 00:00:00+00:00,0.00010604
2023-08-11 00:00:00+00:00,-0.00047720
2023-08-14 00:00:00+00:00,-0.00039779
2023-08-15 00:00:00+00:00,0.00023875
2023-08-16 00:00:00+00:00,-0.00026522
2023-08-17 00:00:00+00:00,0.00023875
2023-08-18 00:00:00+00:00,0.00029175
2023-08-21 00:00:00+00:00,-0.00053036
2023-08-22 00:00:00+00:00,-0.00029181
2023-08-23 00:00:00+00:00,0.00021227
2023-08-24 00:00:00+00:00,-0.00050409
2023-08-25 00:00:00+00:00,-0.00050422
2023-08-28 00:00:00+00:00,-0.00010619
2023-08-29 00:00:00+00:00,0.00090262
2023-08-30 00:00:00+00:00,0.00045105
2023-08-31 00:00:00+00:00,0.00031832
2023-09-01 00:00:00+00:00,0.00013261
2023-09-05 00:00:00+00:00,0.00002652
2023-09-06 00:00:00+00:00,-0.00042434
2023-09-07 00:00:00+00:00,0.00026532
2023-09-08 00:00:00+00:00,0.00002653
2023-09-11 00:00:00+00:00,-0.00010611
2023-09-12 00:00:00+00:00,0.00023876
2023-09-13 00:00:00+00:00,0.00002652
2023-09-14 00:00:00+00:00,0.00021221
2023-09-15 00:00:00+00:00,0.00007958
2023-09-18 00:00:00+00:00,-0.00015915
2023-09-19 00:00:00+00:00,-0.00005306
2023-09-20 00:00:00+00:00,-0.00015918
2023-09-21 00:00:00+00:00,0.00000000
2023-09-22 00:00:00+00:00,0.00010614
2023-09-25 00:00:00+00:00,0.00000000
2023-09-26 00:00:00+00:00,0.00010613
2023-09-27 00:00:00+00:00,-0.00026529
2023-09-28 00:00:00+00:00,0.00026536
2023-09-29 00:00:00+00:00,0.00005306
2023-10-02 00:00:00+00:00,-0.00037139
2023-10-03 00:00:00+00:00,-0.00005308
2023-10-04 00:00:00+00:00,0.00074310
2023-10-05 00:00:00+00:00,0.00010608
2023-10-06 00:00:00+00:00,-0.00042427
2023-10-09 00:00:00+00:00,0.00058362
2023-10-10 00:00:00+00:00,-0.00005303
2023-10-11 00:00:00+00:00,-0.00010606
2023-10-12 00:00:00+00:00,-0.00026517
2023-10-13 00:00:00+00:00,0.00015914
2023-10-16 00:00:00+00:00,-0.00010608
2023-10-17 00:00:00+00:00,-0.00037131
2023-10-18 00:00:00+00:00,0.00010613
2023-10-19 00:00:00+00:00,0.00031835
2023-10-20 00:00:00+00:00,0.00031825
2023-10-23 00:00:00+00:00,-0.00010605
2023-10-24 00:00:00+00:00,0.00000000
2023-10-25 00:00:00+00:00,-0.00005303
2023-10-26 00:00:00+00:00,0.00026517
2023-10-27 00:00:00+00:00,0.00015906
2023-10-30 00:00:00+00:00,-0.00010602
2023-10-31 00:00:00+00:00,-0.00010603
2023-11-01 00:00:00+00:00,0.00021209
2023-11-02 00:00:00+00:00,0.00005301
2023-11-03 00:00:00+00:00,0.00037106
2023-11-06 00:00:00+00:00,-0.00005299
2023-11-07 00:00:00+00:00,0.00005299
2023-11-08 00:00:00+00:00,-0.00010598
2023-11-09 00:00:00+00:00,-0.00015898
2023-11-10 00:00:00+00:00,0.00000000
2023-11-13 00:00:00+00:00,-0.00015901
2023-11-14 00:00:00+00:00,0.00058312
2023-11-15 00:00:00+00:00,-0.00002649
2023-11-16 00:00:00+00:00,0.00005298
2023-11-17 00:00:00+00:00,-0.00005298
2023-11-20 00:00:00+00:00,-0.00005298
2023-11-21 00:00:00+00:00,-0.00002649
2023-11-22 00:00:00+00:00,-0.00010597
2023-11-24 00:00:00+00:00,-0.00005299
2023-11-27 00:00:00+00:00,0.00005299
2023-11-28 00:00:00+00:00,0.00013248
2023-11-29 00:00:00+00:00,0.00018545
2023-11-30 00:00:00+00:00,0.00007946
2023-12-01 00:00:00+00:00,0.00021188
2023-12-04 00:00:00+00:00,-0.00013240
2023-12-05 00:00:00+00:00,0.00013242
2023-12-06 00:00:00+00:00,0.00007944
2023-12-07 00:00:00+00:00,0.00015886
2023-12-08 00:00:00+00:00,-0.00018531
2023-12-11 00:00:00+00:00,-0.00002648
2023-12-12 00:00:00+00:00,-0.00002648
2023-12-13 00:00:00+00:00,0.00013240
2023-12-14 00:00:00+00:00,0.00010590
2023-12-15 00:00:00+00:00,0.00058241
2023-12-18 00:00:00+00:00,0.00301619
2023-12-19 00:00:00+00:00,0.00021103
2023-12-20 00:00:00+00:00,0.00031647
2023-12-21 00:00:00+00:00,0.00026364
