Date,SOYMEAL
2001-01-22 00:00:00+00:00,-0.00790068
2001-01-23 00:00:00+00:00,0.01535836
2001-01-24 00:00:00+00:00,-0.02745098
2001-01-25 00:00:00+00:00,-0.00634211
2001-01-26 00:00:00+00:00,-0.01507246
2001-01-29 00:00:00+00:00,-0.01294879
2001-01-30 00:00:00+00:00,0.00178891
2001-01-31 00:00:00+00:00,-0.01607143
2001-02-01 00:00:00+00:00,-0.00181488
2001-02-02 00:00:00+00:00,-0.01939394
2001-02-05 00:00:00+00:00,0.01834862
2001-02-06 00:00:00+00:00,-0.01717791
2001-02-07 00:00:00+00:00,0.01821494
2001-02-08 00:00:00+00:00,-0.00303398
2001-02-09 00:00:00+00:00,-0.02489375
2001-02-12 00:00:00+00:00,-0.01539409
2001-02-13 00:00:00+00:00,-0.00062189
2001-02-14 00:00:00+00:00,-0.00871731
2001-02-15 00:00:00+00:00,-0.00560399
2001-02-16 00:00:00+00:00,0.01375860
2001-02-20 00:00:00+00:00,0.00934579
2001-02-21 00:00:00+00:00,0.00248139
2001-02-22 00:00:00+00:00,-0.01426799
2001-02-23 00:00:00+00:00,-0.02816020
2001-02-26 00:00:00+00:00,-0.02797203
2001-02-27 00:00:00+00:00,-0.00064267
2001-02-28 00:00:00+00:00,-0.01857783
2001-03-01 00:00:00+00:00,0.01549387
2001-03-02 00:00:00+00:00,0.00510856
2001-03-05 00:00:00+00:00,0.00574713
2001-03-06 00:00:00+00:00,0.01210191
2001-03-07 00:00:00+00:00,0.00125865
2001-03-08 00:00:00+00:00,-0.02274163
2001-03-09 00:00:00+00:00,0.01793722
2001-03-12 00:00:00+00:00,0.00063412
2001-03-13 00:00:00+00:00,-0.03303685
2001-03-14 00:00:00+00:00,-0.05505181
2001-03-15 00:00:00+00:00,0.01334223
2001-03-16 00:00:00+00:00,-0.01053325
2001-03-19 00:00:00+00:00,-0.00133067
2001-03-20 00:00:00+00:00,0.01465690
2001-03-21 00:00:00+00:00,-0.00919238
2001-03-22 00:00:00+00:00,-0.01126574
2001-03-23 00:00:00+00:00,0.00603217
2001-03-26 00:00:00+00:00,0.02198534
2001-03-27 00:00:00+00:00,0.00390564
2001-03-28 00:00:00+00:00,-0.00844156
2001-03-29 00:00:00+00:00,-0.01047806
2001-03-30 00:00:00+00:00,-0.02911979
