Date,TWD-mini
2023-05-23 00:00:00+00:00,-0.00381999
2023-05-24 00:00:00+00:00,-0.00076292
2023-05-25 00:00:00+00:00,-0.00137848
2023-05-26 00:00:00+00:00,0.00354447
2023-05-27 00:00:00+00:00,-0.00014783
2023-05-29 00:00:00+00:00,0.00199809
2023-05-31 00:00:00+00:00,-0.00382021
2023-06-01 00:00:00+00:00,-0.00687743
2023-06-02 00:00:00+00:00,0.00384649
2023-06-05 00:00:00+00:00,-0.00259731
2023-06-06 00:00:00+00:00,0.00015894
2023-06-07 00:00:00+00:00,-0.00260474
2023-06-08 00:00:00+00:00,0.00108337
2023-06-12 00:00:00+00:00,0.00138859
2023-06-13 00:00:00+00:00,0.00415355
2023-06-14 00:00:00+00:00,-0.00350983
2023-06-15 00:00:00+00:00,-0.00075877
2023-06-19 00:00:00+00:00,-0.00505786
2023-06-20 00:00:00+00:00,-0.00537776
2023-06-21 00:00:00+00:00,-0.00076603
2023-06-22 00:00:00+00:00,-0.00076653
2023-06-23 00:00:00+00:00,-0.01656617
2023-06-26 00:00:00+00:00,0.00358706
2023-06-27 00:00:00+00:00,0.00171556
2023-06-28 00:00:00+00:00,-0.00355894
2023-06-29 00:00:00+00:00,0.00171828
2023-07-03 00:00:00+00:00,-0.00387429
2023-07-05 00:00:00+00:00,-0.00108232
2023-07-06 00:00:00+00:00,-0.00450946
2023-07-10 00:00:00+00:00,-0.01141028
2023-07-11 00:00:00+00:00,0.00361495
2023-07-12 00:00:00+00:00,0.00141302
2023-07-13 00:00:00+00:00,0.01171031
2023-07-14 00:00:00+00:00,0.00231731
2023-07-17 00:00:00+00:00,0.00754222
2023-07-18 00:00:00+00:00,0.00232720
2023-07-19 00:00:00+00:00,-0.00478425
2023-07-20 00:00:00+00:00,0.00078065
2023-07-21 00:00:00+00:00,-0.00697237
2023-07-22 00:00:00+00:00,-0.00171170
2023-07-24 00:00:00+00:00,-0.01547258
2023-07-25 00:00:00+00:00,0.00204337
2023-07-26 00:00:00+00:00,0.00516643
2023-07-27 00:00:00+00:00,0.00202694
2023-07-28 00:00:00+00:00,-0.00452454
2023-07-29 00:00:00+00:00,-0.00140599
2023-07-31 00:00:00+00:00,-0.01051824
2023-08-01 00:00:00+00:00,-0.00235280
2023-08-02 00:00:00+00:00,-0.00298802
2023-08-03 00:00:00+00:00,-0.00268027
2023-08-04 00:00:00+00:00,0.00175091
2023-08-05 00:00:00+00:00,-0.00015083
2023-08-07 00:00:00+00:00,-0.01280517
2023-08-08 00:00:00+00:00,-0.00586421
