Date,GILT
2001-03-15 00:00:00+00:00,0.00703984
2001-03-16 00:00:00+00:00,0.00966721
2001-03-19 00:00:00+00:00,0.00068081
2001-03-20 00:00:00+00:00,-0.00621488
2001-03-21 00:00:00+00:00,-0.00111073
2001-03-22 00:00:00+00:00,0.00854847
2001-03-23 00:00:00+00:00,-0.00681083
2001-03-26 00:00:00+00:00,0.00871125
2001-03-27 00:00:00+00:00,-0.00812802
2001-03-28 00:00:00+00:00,-0.00102015
2001-03-29 00:00:00+00:00,-0.00969635
2001-03-30 00:00:00+00:00,-0.00410256
2001-04-02 00:00:00+00:00,-0.00102775
2001-04-03 00:00:00+00:00,0.00359897
2001-04-04 00:00:00+00:00,-0.00615858
2001-04-05 00:00:00+00:00,0.00068640
2001-04-06 00:00:00+00:00,0.00343230
2001-04-09 00:00:00+00:00,0.00000000
2001-04-10 00:00:00+00:00,-0.00512426
2001-04-11 00:00:00+00:00,-0.01387105
2001-04-12 00:00:00+00:00,-0.00896706
2001-04-17 00:00:00+00:00,-0.00571627
2001-04-18 00:00:00+00:00,-0.01163902
2001-04-19 00:00:00+00:00,-0.00559147
2001-04-20 00:00:00+00:00,0.00315402
2001-04-23 00:00:00+00:00,0.00664801
2001-04-24 00:00:00+00:00,0.00000000
2001-04-25 00:00:00+00:00,-0.00496949
2001-04-26 00:00:00+00:00,0.00620412
2001-04-27 00:00:00+00:00,-0.00783836
2001-04-30 00:00:00+00:00,-0.00979278
2001-05-01 00:00:00+00:00,0.00404111
2001-05-02 00:00:00+00:00,0.00403297
2001-05-03 00:00:00+00:00,0.00419984
2001-05-04 00:00:00+00:00,0.00724701
2001-05-08 00:00:00+00:00,0.00086994
2001-05-09 00:00:00+00:00,0.00443401
2001-05-10 00:00:00+00:00,-0.00390354
2001-05-11 00:00:00+00:00,-0.00747436
2001-05-14 00:00:00+00:00,-0.00907267
2001-05-15 00:00:00+00:00,-0.00017527
2001-05-16 00:00:00+00:00,0.00692375
2001-05-17 00:00:00+00:00,-0.00227054
2001-05-18 00:00:00+00:00,-0.00620738
2001-05-21 00:00:00+00:00,-0.00078934
2001-05-22 00:00:00+00:00,-0.00105282
2001-05-23 00:00:00+00:00,-0.00763627
2001-05-24 00:00:00+00:00,-0.00255439
2001-05-25 00:00:00+00:00,-0.00590881
2001-05-29 00:00:00+00:00,0.00433245
2001-05-30 00:00:00+00:00,-0.00017648
2001-05-31 00:00:00+00:00,-0.00229419
2001-06-01 00:00:00+00:00,0.01386681
2001-06-04 00:00:00+00:00,-0.00157936
2001-06-05 00:00:00+00:00,0.00886743
2001-06-06 00:00:00+00:00,-0.00026228
2001-06-07 00:00:00+00:00,-0.00647023
2001-06-08 00:00:00+00:00,-0.00377160
2001-06-11 00:00:00+00:00,0.00448155
2001-06-12 00:00:00+00:00,-0.01262604
2001-06-13 00:00:00+00:00,-0.00229439
2001-06-14 00:00:00+00:00,0.00936561
2001-06-15 00:00:00+00:00,0.00184664
2001-06-18 00:00:00+00:00,0.00035140
2001-06-19 00:00:00+00:00,-0.00166922
2001-06-20 00:00:00+00:00,-0.00202180
2001-06-21 00:00:00+00:00,-0.00466467
2001-06-22 00:00:00+00:00,0.01147295
2001-06-25 00:00:00+00:00,0.00429938
2001-06-26 00:00:00+00:00,-0.00814289
2001-06-27 00:00:00+00:00,-0.00370763
2001-06-28 00:00:00+00:00,-0.01167832
2001-06-29 00:00:00+00:00,-0.00898816
2001-07-02 00:00:00+00:00,-0.00294669
2001-07-03 00:00:00+00:00,-0.00187668
2001-07-04 00:00:00+00:00,0.00357782
2001-07-05 00:00:00+00:00,0.00089286
2001-07-06 00:00:00+00:00,0.01838465
2001-07-09 00:00:00+00:00,-0.00601344
2001-07-10 00:00:00+00:00,0.00399148
2001-07-11 00:00:00+00:00,0.01230742
2001-07-12 00:00:00+00:00,-0.00439986
2001-07-13 00:00:00+00:00,-0.00476232
2001-07-16 00:00:00+00:00,0.00318246
2001-07-17 00:00:00+00:00,0.00000000
2001-07-18 00:00:00+00:00,0.00423654
2001-07-19 00:00:00+00:00,-0.00317041
2001-07-20 00:00:00+00:00,0.00934992
2001-07-23 00:00:00+00:00,0.00184372
2001-07-24 00:00:00+00:00,-0.00008772
2001-07-25 00:00:00+00:00,-0.00175439
2001-07-26 00:00:00+00:00,0.00140474
2001-07-27 00:00:00+00:00,0.00438673
2001-07-30 00:00:00+00:00,0.00262628
2001-07-31 00:00:00+00:00,0.00271026
2001-08-01 00:00:00+00:00,-0.00541296
2001-08-02 00:00:00+00:00,-0.00604044
2001-08-03 00:00:00+00:00,0.00412643
2001-08-06 00:00:00+00:00,0.00525624
2001-08-07 00:00:00+00:00,0.00270837
2001-08-08 00:00:00+00:00,0.00802792
2001-08-09 00:00:00+00:00,0.00938641
2001-08-10 00:00:00+00:00,0.00493080
2001-08-13 00:00:00+00:00,0.00094934
2001-08-14 00:00:00+00:00,-0.00888391
2001-08-15 00:00:00+00:00,-0.00545738
2001-08-16 00:00:00+00:00,0.00521150
2001-08-17 00:00:00+00:00,0.01030928
2001-08-20 00:00:00+00:00,-0.00379212
2001-08-21 00:00:00+00:00,-0.00164076
2001-08-22 00:00:00+00:00,-0.00328492
2001-08-23 00:00:00+00:00,0.00138540
2001-08-24 00:00:00+00:00,-0.00441176
2001-08-28 00:00:00+00:00,0.01318186
2001-08-29 00:00:00+00:00,-0.00094787
2001-08-30 00:00:00+00:00,0.00396518
2001-08-31 00:00:00+00:00,-0.00705437
