Date,CNH-onshore
2017-02-21 00:00:00+00:00,-0.00338717
2017-02-22 00:00:00+00:00,0.00067492
2017-02-23 00:00:00+00:00,0.00205323
2017-02-24 00:00:00+00:00,0.00274044
2017-02-27 00:00:00+00:00,-0.00104588
2017-02-28 00:00:00+00:00,0.00232489
2017-03-01 00:00:00+00:00,-0.00372931
2017-03-02 00:00:00+00:00,-0.00167201
2017-03-03 00:00:00+00:00,-0.00415448
2017-03-06 00:00:00+00:00,0.00260381
2017-03-07 00:00:00+00:00,-0.00174512
2017-03-08 00:00:00+00:00,-0.00160817
2017-03-09 00:00:00+00:00,-0.00506538
2017-03-10 00:00:00+00:00,0.00129497
2017-03-13 00:00:00+00:00,-0.00078218
2017-03-14 00:00:00+00:00,-0.00396944
2017-03-15 00:00:00+00:00,0.00331273
2017-03-16 00:00:00+00:00,0.01052045
2017-03-17 00:00:00+00:00,-0.00277894
2017-03-20 00:00:00+00:00,-0.00388786
2017-03-21 00:00:00+00:00,-0.00036757
2017-03-22 00:00:00+00:00,0.00710709
2017-03-23 00:00:00+00:00,0.00059921
2017-03-24 00:00:00+00:00,-0.00319363
2017-03-27 00:00:00+00:00,0.00764242
2017-03-28 00:00:00+00:00,-0.00401280
2017-03-29 00:00:00+00:00,-0.00271020
2017-03-30 00:00:00+00:00,0.00184136
2017-03-31 00:00:00+00:00,-0.00277910
2017-04-03 00:00:00+00:00,0.00412121
2017-04-04 00:00:00+00:00,-0.00002238
2017-04-05 00:00:00+00:00,-0.00140029
2017-04-06 00:00:00+00:00,-0.00278043
2017-04-07 00:00:00+00:00,0.00066757
2017-04-10 00:00:00+00:00,-0.00374818
2017-04-11 00:00:00+00:00,0.00246669
2017-04-12 00:00:00+00:00,-0.00250787
2017-04-13 00:00:00+00:00,0.00814359
2017-04-17 00:00:00+00:00,-0.00216064
2017-04-18 00:00:00+00:00,-0.00023010
2017-04-19 00:00:00+00:00,0.00135775
2017-04-20 00:00:00+00:00,0.00094345
2017-04-21 00:00:00+00:00,0.00039180
2017-04-24 00:00:00+00:00,-0.00036667
2017-04-25 00:00:00+00:00,0.00170046
2017-04-26 00:00:00+00:00,-0.00277781
2017-04-27 00:00:00+00:00,-0.00236734
2017-04-28 00:00:00+00:00,-0.00016048
2017-05-01 00:00:00+00:00,-0.00071305
2017-05-02 00:00:00+00:00,0.00135723
2017-05-03 00:00:00+00:00,-0.00002427
2017-05-04 00:00:00+00:00,-0.00057652
2017-05-05 00:00:00+00:00,0.00066528
2017-05-08 00:00:00+00:00,-0.00071504
2017-05-09 00:00:00+00:00,-0.00209588
2017-05-10 00:00:00+00:00,0.00066604
2017-05-11 00:00:00+00:00,0.00121854
2017-05-12 00:00:00+00:00,-0.00278692
2017-05-15 00:00:00+00:00,0.00274547
2017-05-16 00:00:00+00:00,0.00343233
2017-05-17 00:00:00+00:00,0.00204527
2017-05-18 00:00:00+00:00,-0.00140485
2017-05-19 00:00:00+00:00,-0.00071559
2017-05-22 00:00:00+00:00,0.00204521
2017-05-23 00:00:00+00:00,0.00135321
2017-05-24 00:00:00+00:00,-0.00140427
2017-05-25 00:00:00+00:00,0.00687059
2017-05-26 00:00:00+00:00,0.00203581
2017-05-29 00:00:00+00:00,0.00272121
2017-05-30 00:00:00+00:00,-0.00002604
2017-05-31 00:00:00+00:00,0.00731165
2017-06-01 00:00:00+00:00,0.00803852
2017-06-02 00:00:00+00:00,-0.00343207
2017-06-05 00:00:00+00:00,0.00542807
2017-06-06 00:00:00+00:00,0.00269279
2017-06-07 00:00:00+00:00,0.00037965
2017-06-08 00:00:00+00:00,-0.00016365
2017-06-09 00:00:00+00:00,-0.00206571
2017-06-12 00:00:00+00:00,-0.00023171
2017-06-13 00:00:00+00:00,-0.00193131
2017-06-14 00:00:00+00:00,-0.00009618
2017-06-15 00:00:00+00:00,0.00249162
2017-06-16 00:00:00+00:00,-0.00920996
2017-06-19 00:00:00+00:00,0.00222625
2017-06-20 00:00:00+00:00,-0.00282682
2017-06-21 00:00:00+00:00,-0.00071107
2017-06-22 00:00:00+00:00,-0.00002668
2017-06-23 00:00:00+00:00,-0.00002661
2017-06-26 00:00:00+00:00,-0.00002667
2017-06-27 00:00:00+00:00,0.00475540
2017-06-28 00:00:00+00:00,0.00269980
2017-06-29 00:00:00+00:00,0.00501119
2017-06-30 00:00:00+00:00,0.00228151
2017-07-03 00:00:00+00:00,-0.00274246
2017-07-04 00:00:00+00:00,-0.00206675
2017-07-05 00:00:00+00:00,-0.00002924
