Date,FTSE250
2001-01-19 00:00:00+00:00,0.01252983
2001-01-22 00:00:00+00:00,-0.00296428
2001-01-23 00:00:00+00:00,-0.00667953
2001-01-24 00:00:00+00:00,0.01042598
2001-01-25 00:00:00+00:00,0.00592680
2001-01-26 00:00:00+00:00,-0.00605702
2001-01-29 00:00:00+00:00,0.00059268
2001-01-30 00:00:00+00:00,0.00622130
2001-01-31 00:00:00+00:00,-0.00206734
2001-02-01 00:00:00+00:00,0.00192137
2001-02-02 00:00:00+00:00,0.00191995
2001-02-05 00:00:00+00:00,-0.00236407
2001-02-06 00:00:00+00:00,0.00723888
2001-02-07 00:00:00+00:00,-0.00323815
2001-02-08 00:00:00+00:00,0.00847708
2001-02-09 00:00:00+00:00,-0.00961538
2001-02-12 00:00:00+00:00,0.00206551
2001-02-13 00:00:00+00:00,0.00117907
2001-02-14 00:00:00+00:00,-0.00927835
2001-02-15 00:00:00+00:00,0.00162746
2001-02-16 00:00:00+00:00,-0.00901833
2001-02-19 00:00:00+00:00,-0.00386158
2001-02-20 00:00:00+00:00,-0.00386905
2001-02-21 00:00:00+00:00,-0.01028623
2001-02-22 00:00:00+00:00,-0.00779260
2001-02-23 00:00:00+00:00,-0.00466376
2001-02-26 00:00:00+00:00,0.00376960
2001-02-27 00:00:00+00:00,0.01158766
2001-02-28 00:00:00+00:00,-0.00583570
2001-03-01 00:00:00+00:00,-0.01547244
2001-03-02 00:00:00+00:00,-0.00650234
2001-03-05 00:00:00+00:00,-0.00121433
2001-03-06 00:00:00+00:00,0.01045917
2001-03-07 00:00:00+00:00,-0.00090580
2001-03-08 00:00:00+00:00,-0.00196345
2001-03-09 00:00:00+00:00,-0.01074130
2001-03-12 00:00:00+00:00,-0.02951019
2001-03-13 00:00:00+00:00,-0.01095510
2001-03-14 00:00:00+00:00,-0.02028081
2001-03-15 00:00:00+00:00,0.00636943
2001-03-16 00:00:00+00:00,-0.00522152
2001-03-19 00:00:00+00:00,-0.00779386
2001-03-20 00:00:00+00:00,0.00064123
2001-03-21 00:00:00+00:00,-0.03685897
2001-03-22 00:00:00+00:00,-0.05975510
2001-03-23 00:00:00+00:00,0.00454240
2001-03-26 00:00:00+00:00,0.01946962
2001-03-27 00:00:00+00:00,0.01346633
2001-03-28 00:00:00+00:00,0.00297226
2001-03-29 00:00:00+00:00,0.00676121
2001-03-30 00:00:00+00:00,0.00920296
