Date,SGX
2001-08-16 00:00:00+00:00,-0.01344743
2001-08-17 00:00:00+00:00,0.00246154
2001-08-20 00:00:00+00:00,-0.02335587
2001-08-21 00:00:00+00:00,0.01616915
2001-08-22 00:00:00+00:00,-0.00616903
2001-08-23 00:00:00+00:00,0.00866337
2001-08-24 00:00:00+00:00,-0.00616143
2001-08-27 00:00:00+00:00,0.02472188
2001-08-28 00:00:00+00:00,-0.00976801
2001-08-29 00:00:00+00:00,-0.00736196
2001-08-30 00:00:00+00:00,-0.01231527
2001-08-31 00:00:00+00:00,-0.01487912
2001-09-03 00:00:00+00:00,0.00374532
2001-09-04 00:00:00+00:00,0.00498442
2001-09-05 00:00:00+00:00,-0.00372902
2001-09-06 00:00:00+00:00,-0.00871731
2001-09-07 00:00:00+00:00,-0.01500938
2001-09-10 00:00:00+00:00,-0.02158730
2001-09-11 00:00:00+00:00,0.00898588
2001-09-12 00:00:00+00:00,-0.13549829
2001-09-13 00:00:00+00:00,-0.01789401
2001-09-14 00:00:00+00:00,-0.06944444
2001-09-17 00:00:00+00:00,-0.10359712
2001-09-18 00:00:00+00:00,0.00303490
2001-09-19 00:00:00+00:00,0.01515152
2001-09-20 00:00:00+00:00,-0.03609023
2001-09-21 00:00:00+00:00,-0.12863706
2001-09-24 00:00:00+00:00,0.07037643
2001-09-25 00:00:00+00:00,0.00790514
2001-09-26 00:00:00+00:00,0.01259843
2001-09-27 00:00:00+00:00,0.03755869
2001-09-28 00:00:00+00:00,0.01843318
2001-10-01 00:00:00+00:00,0.02281953
2001-10-02 00:00:00+00:00,0.01956358
2001-10-03 00:00:00+00:00,-0.01043219
2001-10-04 00:00:00+00:00,0.05992509
2001-10-05 00:00:00+00:00,0.02181818
2001-10-08 00:00:00+00:00,-0.02661871
2001-10-09 00:00:00+00:00,0.03991131
2001-10-10 00:00:00+00:00,-0.01304348
2001-10-11 00:00:00+00:00,0.04959883
2001-10-12 00:00:00+00:00,0.01708185
2001-10-15 00:00:00+00:00,0.01270289
2001-10-16 00:00:00+00:00,0.00841515
