Date,VNKI
2022-04-07 00:00:00+00:00,0.02100840
2022-04-08 00:00:00+00:00,-0.00416667
2022-04-11 00:00:00+00:00,0.00833333
2022-04-12 00:00:00+00:00,0.01666667
2022-04-13 00:00:00+00:00,-0.05208333
2022-04-14 00:00:00+00:00,-0.02795699
2022-04-15 00:00:00+00:00,0.02164502
2022-04-18 00:00:00+00:00,0.03663793
2022-04-19 00:00:00+00:00,-0.00421053
2022-04-20 00:00:00+00:00,-0.02736842
2022-04-21 00:00:00+00:00,0.00865801
2022-04-22 00:00:00+00:00,0.04496788
2022-04-25 00:00:00+00:00,0.13080169
2022-04-26 00:00:00+00:00,-0.04848485
2022-04-27 00:00:00+00:00,0.01010101
2022-04-28 00:00:00+00:00,-0.02448980
2022-05-02 00:00:00+00:00,0.08800000
2022-05-06 00:00:00+00:00,-0.02200000
2022-05-09 00:00:00+00:00,0.05800000
2022-05-10 00:00:00+00:00,0.04705882
2022-05-11 00:00:00+00:00,-0.02884615
2022-05-12 00:00:00+00:00,0.04423077
2022-05-13 00:00:00+00:00,-0.04356061
2022-05-16 00:00:00+00:00,-0.06432749
2022-05-17 00:00:00+00:00,-0.07200000
2022-05-18 00:00:00+00:00,-0.01800000
2022-05-19 00:00:00+00:00,0.02000000
2022-05-20 00:00:00+00:00,-0.03061224
2022-05-23 00:00:00+00:00,-0.02040816
2022-05-24 00:00:00+00:00,0.01632653
2022-05-25 00:00:00+00:00,-0.01632653
2022-05-27 00:00:00+00:00,-0.01224490
2022-05-30 00:00:00+00:00,-0.09387755
2022-05-31 00:00:00+00:00,-0.00217391
2022-06-01 00:00:00+00:00,-0.01304348
2022-06-02 00:00:00+00:00,0.00000000
2022-06-03 00:00:00+00:00,-0.02826087
2022-06-06 00:00:00+00:00,-0.01777778
2022-06-07 00:00:00+00:00,0.01333333
2022-06-08 00:00:00+00:00,0.02267574
2022-06-09 00:00:00+00:00,-0.02637363
2022-06-10 00:00:00+00:00,0.06651885
2022-06-13 00:00:00+00:00,0.02991453
2022-06-14 00:00:00+00:00,0.08974359
