Date,R1000
2017-04-24 00:00:00+00:00,0.01085007
2017-04-25 00:00:00+00:00,0.00700789
2017-04-26 00:00:00+00:00,-0.00070472
2017-04-27 00:00:00+00:00,-0.00246827
2017-04-28 00:00:00+00:00,-0.00539060
2017-05-01 00:00:00+00:00,0.00115504
2017-05-02 00:00:00+00:00,-0.00141995
2017-05-03 00:00:00+00:00,0.00044437
2017-05-04 00:00:00+00:00,-0.00239851
2017-05-05 00:00:00+00:00,0.00569902
2017-05-08 00:00:00+00:00,-0.00106251
2017-05-09 00:00:00+00:00,-0.00274774
2017-05-10 00:00:00+00:00,0.00248867
2017-05-11 00:00:00+00:00,-0.00381239
2017-05-12 00:00:00+00:00,-0.00329299
2017-05-15 00:00:00+00:00,0.00625056
2017-05-16 00:00:00+00:00,-0.00062117
2017-05-17 00:00:00+00:00,-0.01740366
2017-05-18 00:00:00+00:00,0.00280137
2017-05-19 00:00:00+00:00,0.00639813
2017-05-22 00:00:00+00:00,0.00510387
2017-05-23 00:00:00+00:00,0.00267261
2017-05-24 00:00:00+00:00,-0.00071080
2017-05-25 00:00:00+00:00,0.00231173
2017-05-26 00:00:00+00:00,-0.00026612
2017-05-30 00:00:00+00:00,-0.00088731
2017-05-31 00:00:00+00:00,-0.00248668
2017-06-01 00:00:00+00:00,0.00810185
2017-06-02 00:00:00+00:00,-0.00026495
2017-06-05 00:00:00+00:00,-0.00048170
2017-06-06 00:00:00+00:00,-0.00220946
2017-06-07 00:00:00+00:00,-0.00053144
2017-06-08 00:00:00+00:00,0.00274725
2017-06-09 00:00:00+00:00,0.00070703
2017-06-12 00:00:00+00:00,0.00387222
2017-06-13 00:00:00+00:00,0.00280529
2017-06-14 00:00:00+00:00,-0.00157356
2017-06-15 00:00:00+00:00,-0.00210139
2017-06-16 00:00:00+00:00,0.00175485
2017-06-19 00:00:00+00:00,0.00560568
2017-06-20 00:00:00+00:00,-0.00731644
2017-06-21 00:00:00+00:00,-0.00394841
2017-06-22 00:00:00+00:00,-0.00220226
2017-06-23 00:00:00+00:00,0.00114770
2017-06-26 00:00:00+00:00,0.00308642
2017-06-27 00:00:00+00:00,-0.00386813
2017-06-28 00:00:00+00:00,0.00714853
2017-06-29 00:00:00+00:00,-0.00385559
2017-06-30 00:00:00+00:00,0.00281492
2017-07-03 00:00:00+00:00,0.00500000
2017-07-05 00:00:00+00:00,-0.00130924
2017-07-06 00:00:00+00:00,-0.00847754
2017-07-07 00:00:00+00:00,0.00176289
2017-07-10 00:00:00+00:00,-0.00131984
2017-07-11 00:00:00+00:00,-0.00185022
2017-07-12 00:00:00+00:00,0.00511960
2017-07-13 00:00:00+00:00,0.00307368
2017-07-14 00:00:00+00:00,0.00175101
2017-07-17 00:00:00+00:00,0.00026219
2017-07-18 00:00:00+00:00,-0.00131062
2017-07-19 00:00:00+00:00,0.00472441
2017-07-20 00:00:00+00:00,-0.00008708
2017-07-21 00:00:00+00:00,-0.00104502
2017-07-24 00:00:00+00:00,-0.00139482
2017-07-25 00:00:00+00:00,0.00584897
2017-07-26 00:00:00+00:00,-0.00277730
2017-07-27 00:00:00+00:00,0.00060923
2017-07-28 00:00:00+00:00,-0.00008698
2017-07-31 00:00:00+00:00,0.00208768
2017-08-01 00:00:00+00:00,0.00243056
2017-08-02 00:00:00+00:00,-0.00199169
2017-08-03 00:00:00+00:00,-0.00277657
2017-08-04 00:00:00+00:00,0.00243627
2017-08-07 00:00:00+00:00,-0.00069438
2017-08-08 00:00:00+00:00,-0.00199774
2017-08-09 00:00:00+00:00,-0.00147955
2017-08-10 00:00:00+00:00,-0.01167960
2017-08-11 00:00:00+00:00,-0.00167563
2017-08-14 00:00:00+00:00,0.00777385
2017-08-15 00:00:00+00:00,-0.00078892
2017-08-16 00:00:00+00:00,0.00000000
2017-08-17 00:00:00+00:00,-0.01342223
2017-08-18 00:00:00+00:00,-0.00222301
2017-08-21 00:00:00+00:00,0.00133678
2017-08-22 00:00:00+00:00,0.00694197
2017-08-23 00:00:00+00:00,-0.00141418
2017-08-24 00:00:00+00:00,-0.00247831
2017-08-25 00:00:00+00:00,0.00452529
2017-08-28 00:00:00+00:00,-0.00317993
2017-08-29 00:00:00+00:00,-0.00044307
2017-08-30 00:00:00+00:00,0.00310284
2017-08-31 00:00:00+00:00,0.00494918
2017-09-01 00:00:00+00:00,0.00369361
2017-09-05 00:00:00+00:00,-0.01046671
2017-09-06 00:00:00+00:00,0.00451567
2017-09-07 00:00:00+00:00,-0.00475981
2017-09-08 00:00:00+00:00,-0.00699672
2017-09-11 00:00:00+00:00,0.01170732
2017-09-12 00:00:00+00:00,0.00525993
2017-09-13 00:00:00+00:00,0.00183134
2017-09-14 00:00:00+00:00,0.00113162
2017-09-15 00:00:00+00:00,0.00060864
2017-09-18 00:00:00+00:00,0.00521376
2017-09-19 00:00:00+00:00,-0.00017289
2017-09-20 00:00:00+00:00,0.00164275
2017-09-21 00:00:00+00:00,-0.00086319
2017-09-22 00:00:00+00:00,0.00233261
2017-09-25 00:00:00+00:00,0.00043096
2017-09-26 00:00:00+00:00,-0.00060308
2017-09-27 00:00:00+00:00,0.00215517
2017-09-28 00:00:00+00:00,0.00025806
