Date,SMI-MID
2007-01-08 00:00:00+00:00,0.00754402
2007-01-09 00:00:00+00:00,0.01994446
2007-01-10 00:00:00+00:00,-0.01248760
2007-01-11 00:00:00+00:00,0.01632393
2007-01-12 00:00:00+00:00,0.01795373
2007-01-15 00:00:00+00:00,0.03343802
2007-01-16 00:00:00+00:00,0.01235816
2007-01-17 00:00:00+00:00,0.00321492
2007-01-18 00:00:00+00:00,0.00942572
2007-01-19 00:00:00+00:00,-0.00806312
2007-01-22 00:00:00+00:00,0.00998558
2007-01-23 00:00:00+00:00,-0.02716638
2007-01-24 00:00:00+00:00,0.02718174
2007-01-25 00:00:00+00:00,-0.00018535
2007-01-26 00:00:00+00:00,-0.01194964
2007-01-29 00:00:00+00:00,0.01453004
2007-01-30 00:00:00+00:00,0.00823278
2007-01-31 00:00:00+00:00,0.01771303
2007-02-01 00:00:00+00:00,0.03030389
2007-02-02 00:00:00+00:00,0.00636973
2007-02-05 00:00:00+00:00,0.00308321
2007-02-06 00:00:00+00:00,0.00796421
2007-02-07 00:00:00+00:00,0.00739245
2007-02-08 00:00:00+00:00,-0.01580855
2007-02-09 00:00:00+00:00,0.01014314
2007-02-12 00:00:00+00:00,-0.02450793
2007-02-13 00:00:00+00:00,-0.01277231
2007-02-14 00:00:00+00:00,0.02403196
2007-02-15 00:00:00+00:00,0.01396137
2007-02-16 00:00:00+00:00,-0.00126384
2007-02-19 00:00:00+00:00,0.00148176
2007-02-20 00:00:00+00:00,-0.01800250
2007-02-21 00:00:00+00:00,0.00581109
2007-02-22 00:00:00+00:00,-0.00778912
2007-02-23 00:00:00+00:00,-0.03344491
2007-02-26 00:00:00+00:00,-0.00129315
2007-02-27 00:00:00+00:00,-0.08619866
2007-02-28 00:00:00+00:00,-0.01525658
2007-03-01 00:00:00+00:00,-0.02121374
2007-03-02 00:00:00+00:00,0.01280151
2007-03-05 00:00:00+00:00,-0.03772197
2007-03-06 00:00:00+00:00,0.02850500
2007-03-07 00:00:00+00:00,0.01749220
2007-03-08 00:00:00+00:00,0.04829608
2007-03-09 00:00:00+00:00,-0.00360543
2007-03-12 00:00:00+00:00,-0.00303961
2007-03-13 00:00:00+00:00,-0.01961044
2007-03-14 00:00:00+00:00,-0.05859860
2007-03-15 00:00:00+00:00,0.02723063
2007-03-16 00:00:00+00:00,0.00803654
2007-03-19 00:00:00+00:00,0.03611595
2007-03-20 00:00:00+00:00,-0.00190809
2007-03-21 00:00:00+00:00,0.02166856
2007-03-22 00:00:00+00:00,0.02598299
2007-03-23 00:00:00+00:00,-0.00299015
2007-03-26 00:00:00+00:00,-0.00018284
2007-03-27 00:00:00+00:00,-0.01475148
2007-03-28 00:00:00+00:00,-0.02001250
2007-03-29 00:00:00+00:00,0.01526367
2007-03-30 00:00:00+00:00,0.01174218
2007-04-02 00:00:00+00:00,0.00151076
2007-04-03 00:00:00+00:00,0.01616500
2007-04-04 00:00:00+00:00,0.00596966
2007-04-05 00:00:00+00:00,0.00985763
2007-04-10 00:00:00+00:00,0.00647854
2007-04-11 00:00:00+00:00,-0.00183888
2007-04-12 00:00:00+00:00,-0.01619370
2007-04-13 00:00:00+00:00,0.02493120
2007-04-16 00:00:00+00:00,0.01910327
2007-04-17 00:00:00+00:00,0.00254814
2007-04-18 00:00:00+00:00,0.00636402
2007-04-19 00:00:00+00:00,-0.02680932
2007-04-20 00:00:00+00:00,0.03561449
2007-04-23 00:00:00+00:00,-0.00071988
2007-04-24 00:00:00+00:00,-0.02232059
2007-04-25 00:00:00+00:00,0.03373885
2007-04-26 00:00:00+00:00,0.01542200
2007-04-27 00:00:00+00:00,-0.02046507
2007-04-30 00:00:00+00:00,0.01924312
2007-05-02 00:00:00+00:00,-0.00071010
2007-05-03 00:00:00+00:00,-0.01566681
2007-05-04 00:00:00+00:00,0.01867253
2007-05-07 00:00:00+00:00,0.00195805
2007-05-08 00:00:00+00:00,-0.02361806
2007-05-09 00:00:00+00:00,0.00791143
2007-05-10 00:00:00+00:00,0.02614060
2007-05-11 00:00:00+00:00,-0.01341614
2007-05-14 00:00:00+00:00,0.00409507
2007-05-15 00:00:00+00:00,0.00408607
2007-05-16 00:00:00+00:00,0.00833041
2007-05-18 00:00:00+00:00,0.01199586
2007-05-21 00:00:00+00:00,0.00455775
2007-05-22 00:00:00+00:00,0.00664565
2007-05-23 00:00:00+00:00,0.01290059
2007-05-24 00:00:00+00:00,-0.01420070
2007-05-25 00:00:00+00:00,-0.01482659
2007-05-29 00:00:00+00:00,0.01089717
2007-05-30 00:00:00+00:00,-0.00960694
2007-05-31 00:00:00+00:00,0.01878656
2007-06-01 00:00:00+00:00,0.01599928
2007-06-04 00:00:00+00:00,-0.00793498
2007-06-05 00:00:00+00:00,-0.00848389
2007-06-06 00:00:00+00:00,-0.04190340
2007-06-07 00:00:00+00:00,-0.02041733
2007-06-08 00:00:00+00:00,-0.00178654
2007-06-11 00:00:00+00:00,0.02190711
2007-06-12 00:00:00+00:00,-0.00123580
2007-06-13 00:00:00+00:00,-0.00438995
2007-06-14 00:00:00+00:00,0.03878551
2007-06-15 00:00:00+00:00,0.01658709
2007-06-18 00:00:00+00:00,0.01800733
2007-06-19 00:00:00+00:00,0.00086103
2007-06-20 00:00:00+00:00,0.01114782
2007-06-21 00:00:00+00:00,-0.02011788
2007-06-22 00:00:00+00:00,-0.00326664
2007-06-25 00:00:00+00:00,-0.02035732
