Date,EUR
2001-03-22 00:00:00+00:00,-0.01696429
2001-03-23 00:00:00+00:00,0.00281405
2001-03-26 00:00:00+00:00,0.01596223
2001-03-27 00:00:00+00:00,-0.00657968
2001-03-28 00:00:00+00:00,-0.01499385
2001-03-29 00:00:00+00:00,-0.00856821
2001-03-30 00:00:00+00:00,-0.00815217
2001-04-02 00:00:00+00:00,0.00181901
2001-04-03 00:00:00+00:00,0.03646070
2001-04-04 00:00:00+00:00,0.01405466
2001-04-05 00:00:00+00:00,-0.01295968
2001-04-06 00:00:00+00:00,0.01348941
2001-04-09 00:00:00+00:00,-0.01018713
2001-04-10 00:00:00+00:00,-0.02225932
2001-04-11 00:00:00+00:00,-0.00303883
2001-04-12 00:00:00+00:00,0.01025699
2001-04-16 00:00:00+00:00,-0.01255887
2001-04-17 00:00:00+00:00,-0.00947867
2001-04-18 00:00:00+00:00,0.00521542
2001-04-19 00:00:00+00:00,0.02012664
2001-04-20 00:00:00+00:00,0.02238388
2001-04-23 00:00:00+00:00,-0.01527393
2001-04-24 00:00:00+00:00,-0.00713728
2001-04-25 00:00:00+00:00,0.00514772
2001-04-26 00:00:00+00:00,0.01674294
2001-04-27 00:00:00+00:00,-0.02811601
2001-04-30 00:00:00+00:00,-0.00673627
2001-05-01 00:00:00+00:00,0.00844880
2001-05-02 00:00:00+00:00,0.00235558
2001-05-03 00:00:00+00:00,-0.00717006
2001-05-04 00:00:00+00:00,0.01045649
2001-05-07 00:00:00+00:00,-0.00995414
2001-05-08 00:00:00+00:00,-0.01551085
2001-05-09 00:00:00+00:00,0.00317173
2001-05-10 00:00:00+00:00,-0.00667270
2001-05-11 00:00:00+00:00,-0.01157512
2001-05-14 00:00:00+00:00,-0.00433839
2001-05-15 00:00:00+00:00,0.00869565
2001-05-16 00:00:00+00:00,0.01378446
2001-05-17 00:00:00+00:00,-0.00316778
2001-05-18 00:00:00+00:00,-0.00725212
2001-05-21 00:00:00+00:00,-0.00614125
2001-05-22 00:00:00+00:00,-0.02669405
2001-05-23 00:00:00+00:00,-0.02081165
2001-05-24 00:00:00+00:00,0.00093469
2001-05-25 00:00:00+00:00,0.00373701
2001-05-29 00:00:00+00:00,-0.00501224
2001-05-30 00:00:00+00:00,0.00210330
2001-05-31 00:00:00+00:00,-0.02521303
2001-06-01 00:00:00+00:00,0.00425582
2001-06-04 00:00:00+00:00,-0.00448272
2001-06-05 00:00:00+00:00,0.01548830
2001-06-06 00:00:00+00:00,-0.01055966
2001-06-07 00:00:00+00:00,0.00601557
2001-06-08 00:00:00+00:00,0.00164628
2001-06-11 00:00:00+00:00,-0.01738926
2001-06-12 00:00:00+00:00,0.01363044
2001-06-13 00:00:00+00:00,0.00835786
2001-06-14 00:00:00+00:00,0.02297503
2001-06-15 00:00:00+00:00,-0.00324487
2001-06-18 00:00:00+00:00,-0.00197651
2001-06-19 00:00:00+00:00,-0.01582684
2001-06-20 00:00:00+00:00,0.00117302
2001-06-21 00:00:00+00:00,0.00164127
2001-06-22 00:00:00+00:00,0.00140565
2001-06-25 00:00:00+00:00,0.01100316
2001-06-26 00:00:00+00:00,0.00651921
2001-06-27 00:00:00+00:00,-0.00580181
2001-06-28 00:00:00+00:00,-0.03723961
2001-06-29 00:00:00+00:00,0.01185958
2001-07-02 00:00:00+00:00,-0.00707380
2001-07-03 00:00:00+00:00,0.00378609
2001-07-05 00:00:00+00:00,-0.02692489
2001-07-06 00:00:00+00:00,0.02549677
2001-07-09 00:00:00+00:00,0.00106370
2001-07-10 00:00:00+00:00,0.01641862
2001-07-11 00:00:00+00:00,0.01101218
2001-07-12 00:00:00+00:00,-0.01374811
2001-07-13 00:00:00+00:00,0.00093853
2001-07-16 00:00:00+00:00,0.00281426
2001-07-17 00:00:00+00:00,0.00866511
