Date,US-ENERGY
2014-01-08 00:00:00+00:00,-0.00718396
2014-01-09 00:00:00+00:00,-0.00298696
2014-01-10 00:00:00+00:00,-0.00000113
2014-01-13 00:00:00+00:00,-0.01831481
2014-01-14 00:00:00+00:00,0.01173197
2014-01-15 00:00:00+00:00,-0.00301639
2014-01-16 00:00:00+00:00,0.00092957
2014-01-17 00:00:00+00:00,-0.00034962
2014-01-21 00:00:00+00:00,0.00720664
2014-01-22 00:00:00+00:00,0.00553918
2014-01-23 00:00:00+00:00,-0.01147955
2014-01-24 00:00:00+00:00,-0.01892835
2014-01-27 00:00:00+00:00,-0.00331548
2014-01-28 00:00:00+00:00,0.00486737
2014-01-29 00:00:00+00:00,-0.00449186
2014-01-30 00:00:00+00:00,0.00166135
2014-01-31 00:00:00+00:00,-0.01339236
2014-02-03 00:00:00+00:00,-0.01849998
2014-02-04 00:00:00+00:00,0.00966679
2014-02-05 00:00:00+00:00,-0.00618351
2014-02-06 00:00:00+00:00,0.01378027
2014-02-07 00:00:00+00:00,0.01034409
2014-02-10 00:00:00+00:00,-0.00655108
2014-02-11 00:00:00+00:00,0.01737794
2014-02-12 00:00:00+00:00,-0.00341800
2014-02-13 00:00:00+00:00,0.00248165
2014-02-14 00:00:00+00:00,0.01344283
2014-02-18 00:00:00+00:00,0.00453657
2014-02-19 00:00:00+00:00,0.00092513
2014-02-20 00:00:00+00:00,0.00867814
2014-02-21 00:00:00+00:00,-0.00596717
2014-02-24 00:00:00+00:00,0.01246404
2014-02-25 00:00:00+00:00,-0.00000127
2014-02-26 00:00:00+00:00,-0.00752528
2014-02-27 00:00:00+00:00,0.00045819
2014-02-28 00:00:00+00:00,0.00355772
2014-03-03 00:00:00+00:00,0.02345129
2014-03-04 00:00:00+00:00,0.01170487
2014-03-05 00:00:00+00:00,-0.00898597
2014-03-06 00:00:00+00:00,0.00619545
2014-03-07 00:00:00+00:00,0.00182334
2014-03-10 00:00:00+00:00,0.00238916
2014-03-11 00:00:00+00:00,-0.01101788
2014-03-12 00:00:00+00:00,-0.00034578
2014-03-13 00:00:00+00:00,-0.02642301
2014-03-14 00:00:00+00:00,0.00253292
2014-03-17 00:00:00+00:00,0.00430042
2014-03-18 00:00:00+00:00,0.00949139
2014-03-19 00:00:00+00:00,-0.00929061
2014-03-20 00:00:00+00:00,0.00474423
2014-03-21 00:00:00+00:00,0.00299391
2014-03-24 00:00:00+00:00,-0.00183915
2014-03-25 00:00:00+00:00,0.00782368
2014-03-26 00:00:00+00:00,-0.00376939
2014-03-27 00:00:00+00:00,0.00825102
2014-03-28 00:00:00+00:00,0.01261681
2014-03-31 00:00:00+00:00,-0.00280773
2014-04-01 00:00:00+00:00,0.00866712
2014-04-02 00:00:00+00:00,0.00468694
2014-04-03 00:00:00+00:00,0.00622028
2014-04-04 00:00:00+00:00,-0.00552069
2014-04-07 00:00:00+00:00,-0.01609765
2014-04-08 00:00:00+00:00,0.00958959
2014-04-09 00:00:00+00:00,0.00335172
2014-04-10 00:00:00+00:00,-0.01080510
2014-04-11 00:00:00+00:00,-0.00461765
2014-04-14 00:00:00+00:00,0.01357367
2014-04-15 00:00:00+00:00,0.01294544
2014-04-16 00:00:00+00:00,0.00958480
2014-04-17 00:00:00+00:00,0.01287703
2014-04-21 00:00:00+00:00,0.00614074
2014-04-22 00:00:00+00:00,-0.00139301
2014-04-23 00:00:00+00:00,0.00514689
2014-04-24 00:00:00+00:00,-0.00032049
2014-04-25 00:00:00+00:00,-0.00693746
2014-04-28 00:00:00+00:00,0.00440560
2014-04-29 00:00:00+00:00,0.00395835
2014-04-30 00:00:00+00:00,-0.00095988
2014-05-01 00:00:00+00:00,-0.00362783
2014-05-02 00:00:00+00:00,0.00363962
2014-05-05 00:00:00+00:00,0.00501309
2014-05-06 00:00:00+00:00,0.00042388
2014-05-07 00:00:00+00:00,0.00922992
2014-05-08 00:00:00+00:00,-0.01387812
2014-05-09 00:00:00+00:00,-0.00319907
2014-05-12 00:00:00+00:00,0.00898311
2014-05-13 00:00:00+00:00,0.00370921
2014-05-14 00:00:00+00:00,-0.00105678
2014-05-15 00:00:00+00:00,-0.01004405
2014-05-16 00:00:00+00:00,-0.00331111
2014-05-19 00:00:00+00:00,0.00364228
2014-05-20 00:00:00+00:00,-0.00213600
2014-05-21 00:00:00+00:00,0.00994873
2014-05-22 00:00:00+00:00,-0.00031878
2014-05-23 00:00:00+00:00,-0.00275603
2014-05-27 00:00:00+00:00,0.00297426
2014-05-28 00:00:00+00:00,0.00275361
2014-05-29 00:00:00+00:00,0.00718338
2014-05-30 00:00:00+00:00,-0.00084018
2014-06-02 00:00:00+00:00,-0.00168078
2014-06-03 00:00:00+00:00,0.00399509
2014-06-04 00:00:00+00:00,-0.00104844
2014-06-05 00:00:00+00:00,0.00650001
2014-06-06 00:00:00+00:00,0.00843746
2014-06-09 00:00:00+00:00,0.05669832
2014-06-13 00:00:00+00:00,0.00048432
2014-06-16 00:00:00+00:00,0.01411095
2014-06-17 00:00:00+00:00,-0.00365781
2014-06-18 00:00:00+00:00,0.00468887
