Date,EU-REALESTATE
2016-11-14 00:00:00+00:00,-0.00827498
2016-11-15 00:00:00+00:00,0.01347882
2016-11-16 00:00:00+00:00,-0.00696643
2016-11-17 00:00:00+00:00,0.01275510
2016-11-18 00:00:00+00:00,0.00000000
2016-11-21 00:00:00+00:00,-0.00503778
2016-11-22 00:00:00+00:00,0.00569620
2016-11-23 00:00:00+00:00,0.00251731
2016-11-24 00:00:00+00:00,-0.00127049
2016-11-25 00:00:00+00:00,0.00314268
2016-11-29 00:00:00+00:00,0.00814536
2016-11-30 00:00:00+00:00,-0.08060552
2016-12-30 00:00:00+00:00,0.00000000
2017-01-02 00:00:00+00:00,0.06081505
2017-01-03 00:00:00+00:00,-0.01891253
2017-01-04 00:00:00+00:00,0.00421687
2017-01-05 00:00:00+00:00,0.00539892
2017-01-06 00:00:00+00:00,0.00417661
2017-01-09 00:00:00+00:00,-0.01307190
2017-01-10 00:00:00+00:00,-0.00240819
2017-01-11 00:00:00+00:00,0.00241400
2017-01-12 00:00:00+00:00,-0.00541842
2017-01-13 00:00:00+00:00,-0.00423729
2017-01-16 00:00:00+00:00,-0.00243161
2017-01-17 00:00:00+00:00,0.00060938
2017-01-18 00:00:00+00:00,-0.00426309
2017-01-19 00:00:00+00:00,-0.01345566
2017-01-20 00:00:00+00:00,-0.00433974
2017-01-23 00:00:00+00:00,0.00373599
2017-01-24 00:00:00+00:00,-0.00186104
2017-01-26 00:00:00+00:00,0.00310752
2017-01-27 00:00:00+00:00,-0.00185874
2017-01-30 00:00:00+00:00,-0.00434513
2017-01-31 00:00:00+00:00,0.00561097
2017-02-01 00:00:00+00:00,0.01177929
2017-02-02 00:00:00+00:00,-0.00367647
2017-02-03 00:00:00+00:00,0.00246002
2017-02-07 00:00:00+00:00,0.01288344
2017-02-08 00:00:00+00:00,0.01514234
2017-02-09 00:00:00+00:00,0.00775656
2017-02-10 00:00:00+00:00,-0.00592066
2017-02-13 00:00:00+00:00,-0.00119119
2017-02-14 00:00:00+00:00,0.00536673
2017-02-15 00:00:00+00:00,0.00830368
