Date,FTSETAIWAN
2021-09-02 00:00:00+00:00,-0.01311046
2021-09-03 00:00:00+00:00,0.02177499
2021-09-06 00:00:00+00:00,0.00065274
2021-09-07 00:00:00+00:00,-0.01125795
2021-09-08 00:00:00+00:00,-0.02181043
2021-09-09 00:00:00+00:00,0.01048427
2021-09-10 00:00:00+00:00,0.00941682
2021-09-13 00:00:00+00:00,0.01396419
2021-09-14 00:00:00+00:00,-0.00733855
2021-09-15 00:00:00+00:00,0.00049108
2021-09-16 00:00:00+00:00,-0.00818063
2021-09-17 00:00:00+00:00,-0.01478318
2021-09-20 00:00:00+00:00,-0.06026490
2021-09-21 00:00:00+00:00,0.01261507
2021-09-22 00:00:00+00:00,0.02426196
2021-09-23 00:00:00+00:00,0.02631138
2021-09-24 00:00:00+00:00,-0.00049628
2021-09-27 00:00:00+00:00,0.00347510
2021-09-28 00:00:00+00:00,-0.03639974
2021-09-29 00:00:00+00:00,-0.02245484
2021-09-30 00:00:00+00:00,0.00340890
2021-10-01 00:00:00+00:00,-0.01855003
2021-10-04 00:00:00+00:00,-0.04437971
2021-10-05 00:00:00+00:00,0.02034731
2021-10-06 00:00:00+00:00,-0.00086911
2021-10-07 00:00:00+00:00,0.03906928
2021-10-08 00:00:00+00:00,-0.01414934
2021-10-11 00:00:00+00:00,-0.00308536
2021-10-12 00:00:00+00:00,-0.02617531
2021-10-13 00:00:00+00:00,-0.00365663
2021-10-14 00:00:00+00:00,0.02091321
2021-10-15 00:00:00+00:00,0.02827586
2021-10-18 00:00:00+00:00,-0.00680272
2021-10-19 00:00:00+00:00,0.02100051
2021-10-20 00:00:00+00:00,-0.00658784
2021-10-21 00:00:00+00:00,-0.00474576
2021-10-22 00:00:00+00:00,-0.01324054
2021-10-25 00:00:00+00:00,0.01967830
2021-10-26 00:00:00+00:00,0.00356234
2021-10-27 00:00:00+00:00,0.00152130
2021-10-28 00:00:00+00:00,0.01333333
2021-10-29 00:00:00+00:00,-0.01929854
2021-11-01 00:00:00+00:00,0.01824324
2021-11-02 00:00:00+00:00,0.00436168
2021-11-03 00:00:00+00:00,0.01021433
2021-11-04 00:00:00+00:00,-0.00550551
2021-11-05 00:00:00+00:00,0.01720969
2021-11-08 00:00:00+00:00,0.02884615
2021-11-09 00:00:00+00:00,0.00130676
2021-11-10 00:00:00+00:00,-0.01485472
2021-11-11 00:00:00+00:00,0.00937808
2021-11-12 00:00:00+00:00,0.01472995
2021-11-15 00:00:00+00:00,0.00812348
2021-11-16 00:00:00+00:00,0.00404400
2021-11-17 00:00:00+00:00,0.00775069
2021-11-18 00:00:00+00:00,0.02301626
2021-11-19 00:00:00+00:00,-0.01542866
2021-11-22 00:00:00+00:00,-0.00192555
2021-11-23 00:00:00+00:00,-0.01893149
2021-11-24 00:00:00+00:00,0.00518723
2021-11-25 00:00:00+00:00,-0.00129262
2021-11-26 00:00:00+00:00,-0.03284258
2021-11-29 00:00:00+00:00,-0.00050184
2021-11-30 00:00:00+00:00,-0.01118789
2021-12-01 00:00:00+00:00,0.03647467
2021-12-02 00:00:00+00:00,0.01954397
2021-12-03 00:00:00+00:00,-0.01350699
2021-12-06 00:00:00+00:00,0.01392036
2021-12-07 00:00:00+00:00,0.02588008
2021-12-08 00:00:00+00:00,-0.00158655
2021-12-09 00:00:00+00:00,-0.00571882
2021-12-10 00:00:00+00:00,-0.00063796
2021-12-13 00:00:00+00:00,-0.02599266
2021-12-14 00:00:00+00:00,-0.00920989
2021-12-15 00:00:00+00:00,0.02595296
2021-12-16 00:00:00+00:00,-0.00719770
2021-12-17 00:00:00+00:00,0.00900177
2021-12-20 00:00:00+00:00,-0.01906135
2021-12-21 00:00:00+00:00,0.01680672
2021-12-22 00:00:00+00:00,0.01372267
2021-12-23 00:00:00+00:00,0.00776668
2021-12-24 00:00:00+00:00,0.00126562
2021-12-27 00:00:00+00:00,0.01611629
2021-12-28 00:00:00+00:00,0.00376117
2021-12-29 00:00:00+00:00,0.01701795
2021-12-30 00:00:00+00:00,-0.00388440
2021-12-31 00:00:00+00:00,-0.00264427
2022-01-03 00:00:00+00:00,0.00499064
2022-01-04 00:00:00+00:00,0.02220842
2022-01-05 00:00:00+00:00,-0.01525894
2022-01-06 00:00:00+00:00,0.00372324
2022-01-07 00:00:00+00:00,-0.03176325
2022-01-10 00:00:00+00:00,0.00377181
2022-01-11 00:00:00+00:00,0.02712024
2022-01-12 00:00:00+00:00,0.00448916
2022-01-13 00:00:00+00:00,0.00834750
2022-01-14 00:00:00+00:00,-0.02154509
2022-01-15 00:00:00+00:00,0.01057872
2022-01-17 00:00:00+00:00,0.00293845
2022-01-18 00:00:00+00:00,-0.02025043
2022-01-19 00:00:00+00:00,-0.01046221
2022-01-20 00:00:00+00:00,-0.00456981
2022-01-21 00:00:00+00:00,-0.02105430
2022-01-22 00:00:00+00:00,-0.01117854
2022-01-24 00:00:00+00:00,0.00645995
2022-01-25 00:00:00+00:00,-0.02671573
2022-01-26 00:00:00+00:00,-0.00714170
2022-01-27 00:00:00+00:00,-0.03692207
2022-01-28 00:00:00+00:00,-0.02143213
2022-01-31 00:00:00+00:00,0.08414348
2022-02-01 00:00:00+00:00,0.01281640
2022-02-02 00:00:00+00:00,0.01035032
2022-02-03 00:00:00+00:00,-0.02147288
2022-02-04 00:00:00+00:00,0.00433248
2022-02-07 00:00:00+00:00,0.00835610
2022-02-08 00:00:00+00:00,0.02075020
2022-02-09 00:00:00+00:00,0.02811118
2022-02-10 00:00:00+00:00,-0.00779302
2022-02-11 00:00:00+00:00,-0.00719875
2022-02-14 00:00:00+00:00,-0.01122352
2022-02-15 00:00:00+00:00,0.01550759
2022-02-16 00:00:00+00:00,0.00582494
2022-02-17 00:00:00+00:00,-0.01925184
2022-02-18 00:00:00+00:00,0.00268987
2022-02-21 00:00:00+00:00,-0.00662774
2022-02-22 00:00:00+00:00,-0.01810961
2022-02-23 00:00:00+00:00,-0.00446713
2022-02-24 00:00:00+00:00,-0.02467949
2022-02-25 00:00:00+00:00,0.02009399
2022-02-28 00:00:00+00:00,-0.00641849
2022-03-01 00:00:00+00:00,0.00273708
2022-03-02 00:00:00+00:00,0.01720534
2022-03-03 00:00:00+00:00,-0.01577941
2022-03-04 00:00:00+00:00,-0.02598236
2022-03-07 00:00:00+00:00,-0.09934959
2022-03-08 00:00:00+00:00,0.01987663
2022-03-09 00:00:00+00:00,0.04787776
2022-03-10 00:00:00+00:00,0.00911653
2022-03-11 00:00:00+00:00,-0.02256630
2022-03-14 00:00:00+00:00,0.00050083
2022-03-15 00:00:00+00:00,-0.00449775
2022-03-16 00:00:00+00:00,0.03606612
2022-03-17 00:00:00+00:00,0.01624016
2022-03-18 00:00:00+00:00,0.00358073
2022-03-21 00:00:00+00:00,0.00276019
2022-03-22 00:00:00+00:00,0.00826982
2022-03-23 00:00:00+00:00,-0.00613794
2022-03-24 00:00:00+00:00,0.01490120
2022-03-25 00:00:00+00:00,-0.00900466
2022-03-28 00:00:00+00:00,-0.00064903
2022-03-29 00:00:00+00:00,0.00552038
2022-03-30 00:00:00+00:00,-0.00209914
2022-03-31 00:00:00+00:00,-0.00906149
2022-04-01 00:00:00+00:00,-0.01077727
2022-04-04 00:00:00+00:00,0.02640156
2022-04-05 00:00:00+00:00,-0.01717496
2022-04-06 00:00:00+00:00,-0.01443633
2022-04-07 00:00:00+00:00,-0.02655738
2022-04-08 00:00:00+00:00,0.00529801
2022-04-11 00:00:00+00:00,-0.03310162
2022-04-12 00:00:00+00:00,0.00873362
2022-04-13 00:00:00+00:00,0.03082077
2022-04-14 00:00:00+00:00,-0.03028308
2022-04-15 00:00:00+00:00,-0.01536663
2022-04-18 00:00:00+00:00,-0.00202020
2022-04-19 00:00:00+00:00,0.00793383
2022-04-20 00:00:00+00:00,0.01091703
2022-04-21 00:00:00+00:00,-0.02154668
2022-04-22 00:00:00+00:00,-0.01236450
2022-04-25 00:00:00+00:00,-0.03790087
2022-04-26 00:00:00+00:00,-0.03797903
2022-04-27 00:00:00+00:00,0.00759717
2022-04-28 00:00:00+00:00,0.03714085
2022-04-29 00:00:00+00:00,-0.00925926
2022-05-02 00:00:00+00:00,-0.01925746
2022-05-03 00:00:00+00:00,0.01601671
2022-05-04 00:00:00+00:00,0.03607180
2022-05-05 00:00:00+00:00,-0.05693406
2022-05-06 00:00:00+00:00,0.00505667
2022-05-09 00:00:00+00:00,-0.05674256
2022-05-10 00:00:00+00:00,0.01094956
2022-05-11 00:00:00+00:00,-0.02640971
2022-05-12 00:00:00+00:00,-0.00976492
2022-05-13 00:00:00+00:00,0.03800000
2022-05-16 00:00:00+00:00,-0.02513369
2022-05-17 00:00:00+00:00,0.01886792
2022-05-18 00:00:00+00:00,0.00322292
2022-05-19 00:00:00+00:00,-0.01483089
2022-05-20 00:00:00+00:00,0.00901226
2022-05-23 00:00:00+00:00,0.00410861
2022-05-24 00:00:00+00:00,-0.01850205
2022-05-25 00:00:00+00:00,0.01933851
2022-05-26 00:00:00+00:00,-0.00412260
2022-05-27 00:00:00+00:00,0.00196464
2022-05-30 00:00:00+00:00,0.05709768
2022-05-31 00:00:00+00:00,0.01097179
2022-06-01 00:00:00+00:00,-0.01231570
2022-06-02 00:00:00+00:00,0.01588687
2022-06-03 00:00:00+00:00,-0.02716263
2022-06-06 00:00:00+00:00,0.01384993
2022-06-07 00:00:00+00:00,-0.00592334
2022-06-08 00:00:00+00:00,0.00383543
2022-06-09 00:00:00+00:00,-0.01235642
2022-06-10 00:00:00+00:00,-0.04661390
2022-06-13 00:00:00+00:00,-0.01254545
2022-06-14 00:00:00+00:00,-0.00644449
2022-06-15 00:00:00+00:00,0.00444774
2022-06-16 00:00:00+00:00,-0.02896679
2022-06-17 00:00:00+00:00,0.00000000
2022-06-20 00:00:00+00:00,-0.00019001
2022-06-21 00:00:00+00:00,0.02033447
2022-06-22 00:00:00+00:00,-0.02365431
2022-06-23 00:00:00+00:00,-0.00324304
2022-06-24 00:00:00+00:00,0.01263158
2022-06-27 00:00:00+00:00,-0.00132300
2022-06-28 00:00:00+00:00,-0.08573051
2022-06-29 00:00:00+00:00,0.00556302
2022-06-30 00:00:00+00:00,-0.04690504
2022-07-01 00:00:00+00:00,-0.02750491
2022-07-04 00:00:00+00:00,-0.02444444
2022-07-05 00:00:00+00:00,-0.01997982
2022-07-06 00:00:00+00:00,-0.02003643
2022-07-07 00:00:00+00:00,0.04562269
2022-07-08 00:00:00+00:00,0.01686747
2022-07-11 00:00:00+00:00,-0.03293413
2022-07-12 00:00:00+00:00,0.00304445
2022-07-13 00:00:00+00:00,0.01399310
2022-07-14 00:00:00+00:00,0.01651561
2022-07-15 00:00:00+00:00,0.00838323
2022-07-18 00:00:00+00:00,0.00794913
2022-07-19 00:00:00+00:00,0.00498206
2022-07-20 00:00:00+00:00,0.00912155
2022-07-21 00:00:00+00:00,0.00294753
2022-07-22 00:00:00+00:00,0.00313480
2022-07-25 00:00:00+00:00,0.00351562
2022-07-26 00:00:00+00:00,-0.00836902
2022-07-27 00:00:00+00:00,0.00902846
2022-07-28 00:00:00+00:00,0.00680801
2022-07-29 00:00:00+00:00,0.00077280
2022-07-30 00:00:00+00:00,0.00270270
2022-08-01 00:00:00+00:00,-0.00539084
2022-08-02 00:00:00+00:00,-0.01548587
2022-08-03 00:00:00+00:00,0.00216280
2022-08-04 00:00:00+00:00,0.00137336
2022-08-05 00:00:00+00:00,0.02331505
2022-08-06 00:00:00+00:00,-0.00363776
2022-08-08 00:00:00+00:00,0.00576480
2022-08-09 00:00:00+00:00,0.00615266
2022-08-10 00:00:00+00:00,-0.00764380
2022-08-11 00:00:00+00:00,0.01810129
2022-08-12 00:00:00+00:00,0.00699830
2022-08-13 00:00:00+00:00,0.00544703
2022-08-15 00:00:00+00:00,0.03399963
2022-08-16 00:00:00+00:00,0.00074516
2022-08-17 00:00:00+00:00,0.00055845
2022-08-18 00:00:00+00:00,-0.00334884
2022-08-19 00:00:00+00:00,0.00149337
2022-08-20 00:00:00+00:00,-0.00577819
2022-08-22 00:00:00+00:00,-0.01349831
2022-08-23 00:00:00+00:00,-0.01317275
2022-08-24 00:00:00+00:00,-0.00076278
2022-08-25 00:00:00+00:00,0.00877863
2022-08-26 00:00:00+00:00,0.00491865
2022-08-27 00:00:00+00:00,-0.02070783
2022-08-29 00:00:00+00:00,-0.03402537
2022-08-30 00:00:00+00:00,0.00929692
2022-08-31 00:00:00+00:00,0.01323360
2022-09-01 00:00:00+00:00,-0.03727064
2022-09-02 00:00:00+00:00,-0.02222222
2022-09-03 00:00:00+00:00,-0.00591366
2022-09-05 00:00:00+00:00,0.01364445
2022-09-06 00:00:00+00:00,0.00274671
2022-09-07 00:00:00+00:00,-0.01760908
2022-09-08 00:00:00+00:00,0.01493726
2022-09-09 00:00:00+00:00,0.01373626
2022-09-10 00:00:00+00:00,0.00038715
2022-09-12 00:00:00+00:00,0.00193498
2022-09-13 00:00:00+00:00,0.00502124
2022-09-14 00:00:00+00:00,-0.03670254
2022-09-15 00:00:00+00:00,0.01040236
2022-09-16 00:00:00+00:00,-0.01288811
2022-09-17 00:00:00+00:00,0.00296736
2022-09-19 00:00:00+00:00,-0.01834320
2022-09-20 00:00:00+00:00,0.01386688
2022-09-21 00:00:00+00:00,-0.01947286
2022-09-22 00:00:00+00:00,-0.02227083
2022-09-23 00:00:00+00:00,-0.03717099
2022-09-24 00:00:00+00:00,-0.00852792
2022-09-26 00:00:00+00:00,-0.01966005
2022-09-27 00:00:00+00:00,0.00311785
2022-09-28 00:00:00+00:00,-0.04318937
2022-09-29 00:00:00+00:00,0.00106135
2022-09-30 00:00:00+00:00,-0.01992370
2022-10-01 00:00:00+00:00,-0.01369863
2022-10-03 00:00:00+00:00,0.00107342
2022-10-04 00:00:00+00:00,0.03939720
2022-10-05 00:00:00+00:00,0.03942652
2022-10-06 00:00:00+00:00,0.00600041
2022-10-07 00:00:00+00:00,-0.02722772
2022-10-08 00:00:00+00:00,-0.03908046
2022-10-10 00:00:00+00:00,-0.03005115
2022-10-11 00:00:00+00:00,-0.01124811
2022-10-12 00:00:00+00:00,0.00021758
2022-10-13 00:00:00+00:00,-0.03763324
2022-10-14 00:00:00+00:00,0.04764015
2022-10-15 00:00:00+00:00,-0.03401950
2022-10-17 00:00:00+00:00,0.01127321
2022-10-18 00:00:00+00:00,0.01909151
2022-10-19 00:00:00+00:00,-0.01737997
2022-10-20 00:00:00+00:00,-0.00897745
2022-10-21 00:00:00+00:00,-0.00549813
2022-10-22 00:00:00+00:00,0.01881363
2022-10-24 00:00:00+00:00,-0.01610797
2022-10-25 00:00:00+00:00,-0.02450331
2022-10-26 00:00:00+00:00,0.01206434
2022-10-27 00:00:00+00:00,0.02575488
2022-10-28 00:00:00+00:00,-0.02037240
2022-10-29 00:00:00+00:00,0.02390967
2022-10-31 00:00:00+00:00,0.00021825
2022-11-01 00:00:00+00:00,0.01463841
2022-11-02 00:00:00+00:00,0.00151811
2022-11-03 00:00:00+00:00,-0.01841820
2022-11-04 00:00:00+00:00,0.00962169
2022-11-05 00:00:00+00:00,0.02175805
2022-11-07 00:00:00+00:00,0.00991166
2022-11-08 00:00:00+00:00,0.00858001
2022-11-09 00:00:00+00:00,0.01701404
2022-11-10 00:00:00+00:00,-0.00627353
2022-11-11 00:00:00+00:00,0.04356061
2022-11-12 00:00:00+00:00,0.01189756
2022-11-14 00:00:00+00:00,0.04503786
2022-11-15 00:00:00+00:00,0.02903811
2022-11-16 00:00:00+00:00,0.00391926
2022-11-17 00:00:00+00:00,-0.00117119
2022-11-18 00:00:00+00:00,0.01993355
2022-11-19 00:00:00+00:00,0.00531078
2022-11-21 00:00:00+00:00,-0.00919585
2022-11-22 00:00:00+00:00,0.00551615
2022-11-23 00:00:00+00:00,0.00923742
2022-11-24 00:00:00+00:00,0.02726388
2022-11-25 00:00:00+00:00,-0.00828197
2022-11-26 00:00:00+00:00,-0.00426357
2022-11-28 00:00:00+00:00,-0.02355002
2022-11-29 00:00:00+00:00,0.01413705
2022-11-30 00:00:00+00:00,0.02600427
2022-12-01 00:00:00+00:00,0.02094945
2022-12-02 00:00:00+00:00,-0.00798935
2022-12-03 00:00:00+00:00,0.00133920
2022-12-05 00:00:00+00:00,0.00267482
2022-12-06 00:00:00+00:00,-0.03222116
2022-12-07 00:00:00+00:00,-0.00581734
2022-12-08 00:00:00+00:00,-0.01808987
2022-12-09 00:00:00+00:00,0.02512267
2022-12-10 00:00:00+00:00,-0.00658787
2022-12-12 00:00:00+00:00,-0.01013250
2022-12-13 00:00:00+00:00,-0.00820954
2022-12-14 00:00:00+00:00,0.02197371
2022-12-15 00:00:00+00:00,0.00038805
2022-12-16 00:00:00+00:00,-0.03104987
2022-12-17 00:00:00+00:00,-0.01635790
2022-12-19 00:00:00+00:00,0.00338174
2022-12-20 00:00:00+00:00,-0.02877555
2022-12-21 00:00:00+00:00,0.00422876
2022-12-22 00:00:00+00:00,0.02270444
2022-12-23 00:00:00+00:00,-0.01783944
2022-12-24 00:00:00+00:00,0.00261149
2022-12-26 00:00:00+00:00,0.00180325
2022-12-27 00:00:00+00:00,0.00980588
2022-12-28 00:00:00+00:00,-0.01373955
2022-12-29 00:00:00+00:00,-0.00625883
2022-12-30 00:00:00+00:00,0.00020317
2022-12-31 00:00:00+00:00,-0.01027190
2023-01-03 00:00:00+00:00,0.01958805
2023-01-04 00:00:00+00:00,-0.00280393
2023-01-05 00:00:00+00:00,0.00962310
2023-01-06 00:00:00+00:00,0.01653716
2023-01-07 00:00:00+00:00,0.03303006
2023-01-09 00:00:00+00:00,0.02255932
2023-01-10 00:00:00+00:00,0.00365525
2023-01-11 00:00:00+00:00,0.00172877
2023-01-12 00:00:00+00:00,-0.00384541
2023-01-13 00:00:00+00:00,0.00366300
2023-01-14 00:00:00+00:00,0.01038661
