Date,EURAUD
2023-01-13 00:00:00+00:00,-0.00532495
2023-01-16 00:00:00+00:00,0.00000000
2023-01-17 00:00:00+00:00,-0.01009906
2023-01-18 00:00:00+00:00,0.01318937
2023-01-19 00:00:00+00:00,0.01380949
2023-01-20 00:00:00+00:00,-0.01090631
2023-01-23 00:00:00+00:00,-0.01346758
2023-01-24 00:00:00+00:00,-0.00393853
2023-01-25 00:00:00+00:00,-0.00879803
2023-01-26 00:00:00+00:00,-0.00799376
2023-01-27 00:00:00+00:00,-0.00313193
2023-01-30 00:00:00+00:00,0.01084896
2023-01-31 00:00:00+00:00,0.00435489
2023-02-01 00:00:00+00:00,0.00090797
2023-02-02 00:00:00+00:00,0.00116679
2023-02-03 00:00:00+00:00,0.02273905
2023-02-06 00:00:00+00:00,-0.00147323
2023-02-07 00:00:00+00:00,-0.01833216
2023-02-08 00:00:00+00:00,0.00556454
2023-02-09 00:00:00+00:00,-0.00174216
2023-02-10 00:00:00+00:00,-0.00452080
2023-02-13 00:00:00+00:00,-0.00608454
2023-02-14 00:00:00+00:00,-0.00337618
2023-02-15 00:00:00+00:00,0.01469919
2023-02-16 00:00:00+00:00,0.00245335
2023-02-17 00:00:00+00:00,0.00638380
2023-02-20 00:00:00+00:00,0.00000000
2023-02-21 00:00:00+00:00,-0.00154261
2023-02-22 00:00:00+00:00,0.00752654
2023-02-23 00:00:00+00:00,-0.00352474
2023-02-24 00:00:00+00:00,0.01521572
2023-02-27 00:00:00+00:00,0.00809226
2023-02-28 00:00:00+00:00,-0.00463286
2023-03-01 00:00:00+00:00,0.00884168
2023-03-02 00:00:00+00:00,-0.00607941
2023-03-03 00:00:00+00:00,-0.00381098
2023-03-06 00:00:00+00:00,0.02227313
2023-03-07 00:00:00+00:00,0.01711984
2023-03-08 00:00:00+00:00,0.00006240
2023-03-09 00:00:00+00:00,0.00598392
2023-03-10 00:00:00+00:00,0.01479088
2023-03-13 00:00:00+00:00,-0.00888560
2023-03-14 00:00:00+00:00,-0.00396801
