Date,SOFR
2001-01-22 00:00:00+00:00,-0.00127578
2001-01-23 00:00:00+00:00,-0.00191489
2001-01-24 00:00:00+00:00,0.00000000
2001-01-25 00:00:00+00:00,0.00122458
2001-01-26 00:00:00+00:00,0.00021283
2001-01-29 00:00:00+00:00,-0.00015961
2001-01-30 00:00:00+00:00,0.00159625
2001-01-31 00:00:00+00:00,0.00297730
2001-02-01 00:00:00+00:00,0.00185805
2001-02-02 00:00:00+00:00,-0.00222753
2001-02-05 00:00:00+00:00,-0.00058405
2001-02-06 00:00:00+00:00,-0.00148715
2001-02-07 00:00:00+00:00,0.00085043
2001-02-08 00:00:00+00:00,-0.00058442
2001-02-09 00:00:00+00:00,0.00175373
2001-02-12 00:00:00+00:00,-0.00031859
2001-02-13 00:00:00+00:00,-0.00069039
2001-02-14 00:00:00+00:00,-0.00223119
2001-02-15 00:00:00+00:00,-0.00138276
2001-02-16 00:00:00+00:00,0.00271421
2001-02-20 00:00:00+00:00,0.00021260
2001-02-21 00:00:00+00:00,-0.00058458
2001-02-22 00:00:00+00:00,0.00015948
2001-02-23 00:00:00+00:00,0.00069105
2001-02-26 00:00:00+00:00,0.00042512
2001-02-27 00:00:00+00:00,0.00185953
2001-02-28 00:00:00+00:00,0.00233546
2001-03-01 00:00:00+00:00,0.00053014
2001-03-02 00:00:00+00:00,-0.00196099
2001-03-05 00:00:00+00:00,-0.00021221
2001-03-06 00:00:00+00:00,-0.00031835
2001-03-07 00:00:00+00:00,0.00106135
2001-03-08 00:00:00+00:00,0.00037127
2001-03-09 00:00:00+00:00,-0.00159092
2001-03-12 00:00:00+00:00,-0.00010615
2001-03-13 00:00:00+00:00,-0.00074306
2001-03-14 00:00:00+00:00,0.00201763
2001-03-15 00:00:00+00:00,0.00169734
2001-03-16 00:00:00+00:00,0.00068896
2001-03-19 00:00:00+00:00,-0.00105955
2001-03-20 00:00:00+00:00,-0.00005301
2001-03-21 00:00:00+00:00,0.00084813
2001-03-22 00:00:00+00:00,0.00127166
2001-03-23 00:00:00+00:00,-0.00217104
2001-03-26 00:00:00+00:00,-0.00084818
2001-03-27 00:00:00+00:00,-0.00392448
2001-03-28 00:00:00+00:00,0.00053138
2001-03-29 00:00:00+00:00,0.00047811
2001-03-30 00:00:00+00:00,0.00095602
2001-04-02 00:00:00+00:00,-0.00074322
2001-04-03 00:00:00+00:00,0.00069039
2001-04-04 00:00:00+00:00,0.00079635
2001-04-05 00:00:00+00:00,-0.00122055
2001-04-06 00:00:00+00:00,0.00265491
2001-04-09 00:00:00+00:00,-0.00068936
2001-04-10 00:00:00+00:00,-0.00297066
2001-04-11 00:00:00+00:00,-0.00074377
2001-04-12 00:00:00+00:00,-0.00148810
2001-04-16 00:00:00+00:00,-0.00356345
2001-04-17 00:00:00+00:00,0.00277053
2001-04-18 00:00:00+00:00,0.00276669
2001-04-19 00:00:00+00:00,-0.00302853
2001-04-20 00:00:00+00:00,-0.00042571
2001-04-23 00:00:00+00:00,0.00180967
2001-04-24 00:00:00+00:00,0.00031906
2001-04-25 00:00:00+00:00,-0.00164823
2001-04-26 00:00:00+00:00,0.00223487
2001-04-27 00:00:00+00:00,-0.00281705
2001-04-30 00:00:00+00:00,-0.00063874
2001-05-01 00:00:00+00:00,0.00085192
2001-05-02 00:00:00+00:00,0.00026611
2001-05-03 00:00:00+00:00,0.00175607
2001-05-04 00:00:00+00:00,0.00069116
2001-05-07 00:00:00+00:00,-0.00079724
2001-05-08 00:00:00+00:00,0.00015952
2001-05-09 00:00:00+00:00,0.00085070
2001-05-10 00:00:00+00:00,-0.00324192
2001-05-11 00:00:00+00:00,-0.00580250
2001-05-14 00:00:00+00:00,0.00170840
2001-05-15 00:00:00+00:00,-0.00096015
2001-05-16 00:00:00+00:00,0.00016010
2001-05-17 00:00:00+00:00,0.00026682
2001-05-18 00:00:00+00:00,0.00058689
2001-05-21 00:00:00+00:00,0.00026668
2001-05-22 00:00:00+00:00,0.00037329
2001-05-23 00:00:00+00:00,0.00037323
2001-05-24 00:00:00+00:00,-0.00218573
2001-05-25 00:00:00+00:00,-0.00032022
2001-05-29 00:00:00+00:00,-0.00074730
2001-05-30 00:00:00+00:00,-0.00064079
2001-05-31 00:00:00+00:00,0.00304471
2001-06-01 00:00:00+00:00,0.00048003
2001-06-04 00:00:00+00:00,0.00042658
2001-06-05 00:00:00+00:00,0.00149270
2001-06-06 00:00:00+00:00,0.00031962
2001-06-07 00:00:00+00:00,-0.00117177
2001-06-08 00:00:00+00:00,-0.00202526
2001-06-11 00:00:00+00:00,0.00144046
2001-06-12 00:00:00+00:00,0.00154601
2001-06-13 00:00:00+00:00,-0.00005327
2001-06-14 00:00:00+00:00,0.00063928
2001-06-15 00:00:00+00:00,-0.00111839
2001-06-18 00:00:00+00:00,-0.00042630
2001-06-19 00:00:00+00:00,-0.00021320
2001-06-20 00:00:00+00:00,-0.00069296
2001-06-21 00:00:00+00:00,0.00037339
2001-06-22 00:00:00+00:00,0.00239987
2001-06-25 00:00:00+00:00,-0.00042612
2001-06-26 00:00:00+00:00,-0.00207778
2001-06-27 00:00:00+00:00,-0.00170667
2001-06-28 00:00:00+00:00,-0.00272218
2001-06-29 00:00:00+00:00,-0.00117584
2001-07-02 00:00:00+00:00,0.00106958
2001-07-03 00:00:00+00:00,-0.00053450
2001-07-05 00:00:00+00:00,-0.00074850
2001-07-06 00:00:00+00:00,0.00112317
2001-07-09 00:00:00+00:00,0.00074838
2001-07-10 00:00:00+00:00,0.00117559
2001-07-11 00:00:00+00:00,-0.00010681
