Date,ALUMINIUM
2020-12-17 00:00:00+00:00,0.01251215
2020-12-18 00:00:00+00:00,0.00607386
2020-12-21 00:00:00+00:00,-0.02582670
2020-12-23 00:00:00+00:00,-0.01857319
2020-12-29 00:00:00+00:00,-0.01359199
2021-01-04 00:00:00+00:00,0.01840554
2021-01-05 00:00:00+00:00,0.01297418
2021-01-06 00:00:00+00:00,0.00146288
2021-01-07 00:00:00+00:00,0.00404561
2021-01-08 00:00:00+00:00,-0.01074481
2021-01-11 00:00:00+00:00,-0.00938040
2021-01-12 00:00:00+00:00,0.01071518
2021-01-13 00:00:00+00:00,-0.00480769
2021-01-14 00:00:00+00:00,-0.00445931
2021-01-19 00:00:00+00:00,-0.06731367
2021-01-20 00:00:00+00:00,0.03169004
2021-01-21 00:00:00+00:00,0.01516101
2021-01-22 00:00:00+00:00,-0.00398357
2021-01-25 00:00:00+00:00,0.01182622
2021-01-26 00:00:00+00:00,0.01008341
2021-02-01 00:00:00+00:00,-0.02392109
2021-02-02 00:00:00+00:00,0.00366347
2021-02-03 00:00:00+00:00,0.00377596
2021-02-04 00:00:00+00:00,0.00852665
2021-02-05 00:00:00+00:00,0.01218451
2021-02-08 00:00:00+00:00,0.00737010
2021-02-09 00:00:00+00:00,0.01524204
2021-02-10 00:00:00+00:00,0.00672592
2021-02-11 00:00:00+00:00,0.00000000
2021-02-12 00:00:00+00:00,0.00632307
2021-02-16 00:00:00+00:00,0.02679312
2021-02-17 00:00:00+00:00,0.01142313
2021-02-18 00:00:00+00:00,0.01832461
2021-02-19 00:00:00+00:00,-0.00416468
2021-02-22 00:00:00+00:00,0.05747263
2021-02-23 00:00:00+00:00,-0.01029683
2021-02-24 00:00:00+00:00,0.01452258
2021-02-25 00:00:00+00:00,0.03018868
2021-02-26 00:00:00+00:00,-0.03807890
2021-03-01 00:00:00+00:00,-0.02131072
2021-03-02 00:00:00+00:00,-0.00954376
2021-03-03 00:00:00+00:00,0.08222222
2021-03-04 00:00:00+00:00,-0.03226169
2021-03-05 00:00:00+00:00,-0.00614404
2021-03-08 00:00:00+00:00,0.00822293
2021-03-09 00:00:00+00:00,-0.00668328
2021-03-10 00:00:00+00:00,0.00114038
2021-03-11 00:00:00+00:00,0.01175262
2021-03-12 00:00:00+00:00,-0.01048833
2021-03-15 00:00:00+00:00,0.02883519
2021-03-16 00:00:00+00:00,-0.00022624
2021-03-17 00:00:00+00:00,0.02545249
2021-03-18 00:00:00+00:00,-0.01002450
2021-03-19 00:00:00+00:00,0.03564268
2021-03-22 00:00:00+00:00,0.01366090
2021-03-23 00:00:00+00:00,-0.05620660
2021-03-24 00:00:00+00:00,0.02721522
2021-03-25 00:00:00+00:00,-0.00077314
2021-03-26 00:00:00+00:00,0.00806273
2021-03-29 00:00:00+00:00,0.01888668
2021-03-30 00:00:00+00:00,-0.04405382
2021-04-01 00:00:00+00:00,0.00156058
