Date,DX
2001-03-02 00:00:00+00:00,-0.00134662
2001-03-05 00:00:00+00:00,0.00691762
2001-03-06 00:00:00+00:00,-0.00644584
2001-03-07 00:00:00+00:00,0.01140650
2001-03-08 00:00:00+00:00,-0.00634098
2001-03-09 00:00:00+00:00,-0.00053763
2001-03-12 00:00:00+00:00,0.01003854
2001-03-13 00:00:00+00:00,0.01854990
2001-03-14 00:00:00+00:00,0.01237077
2001-03-15 00:00:00+00:00,0.01756389
2001-03-16 00:00:00+00:00,0.01175242
2001-03-19 00:00:00+00:00,-0.00346230
2001-03-20 00:00:00+00:00,-0.01846874
2001-03-21 00:00:00+00:00,0.02432835
2001-03-22 00:00:00+00:00,0.01417949
2001-03-23 00:00:00+00:00,-0.00626717
2001-03-26 00:00:00+00:00,-0.01343438
2001-03-27 00:00:00+00:00,0.00381481
2001-03-28 00:00:00+00:00,0.00969193
2001-03-29 00:00:00+00:00,0.01153979
2001-03-30 00:00:00+00:00,0.01438479
2001-04-02 00:00:00+00:00,-0.00221032
2001-04-03 00:00:00+00:00,-0.02808511
2001-04-04 00:00:00+00:00,-0.01018558
2001-04-05 00:00:00+00:00,0.00529238
2001-04-06 00:00:00+00:00,-0.01142264
2001-04-09 00:00:00+00:00,0.00870322
2001-04-10 00:00:00+00:00,0.01161179
2001-04-11 00:00:00+00:00,0.00258465
2001-04-12 00:00:00+00:00,-0.01015316
2001-04-16 00:00:00+00:00,0.01106979
2001-04-17 00:00:00+00:00,0.00602099
2001-04-18 00:00:00+00:00,-0.00668839
2001-04-19 00:00:00+00:00,-0.01798159
2001-04-20 00:00:00+00:00,-0.01198229
2001-04-23 00:00:00+00:00,0.00742488
2001-04-24 00:00:00+00:00,0.00765883
2001-04-25 00:00:00+00:00,-0.00303451
2001-04-26 00:00:00+00:00,-0.00981243
2001-04-27 00:00:00+00:00,0.02129331
2001-04-30 00:00:00+00:00,0.00241775
2001-05-01 00:00:00+00:00,-0.00845192
2001-05-02 00:00:00+00:00,-0.00242508
2001-05-03 00:00:00+00:00,0.00390219
2001-05-04 00:00:00+00:00,-0.00761707
2001-05-07 00:00:00+00:00,0.00695108
2001-05-08 00:00:00+00:00,0.01324790
2001-05-09 00:00:00+00:00,-0.00034439
2001-05-10 00:00:00+00:00,0.00524867
2001-05-11 00:00:00+00:00,0.00780982
2001-05-14 00:00:00+00:00,0.00384681
2001-05-15 00:00:00+00:00,-0.00733663
2001-05-16 00:00:00+00:00,-0.00256849
2001-05-17 00:00:00+00:00,-0.00137339
2001-05-18 00:00:00+00:00,0.00438069
2001-05-21 00:00:00+00:00,0.00205673
2001-05-22 00:00:00+00:00,0.02046058
2001-05-23 00:00:00+00:00,0.01127023
2001-05-24 00:00:00+00:00,0.00042137
2001-05-25 00:00:00+00:00,-0.00294886
2001-05-29 00:00:00+00:00,0.00084381
2001-05-30 00:00:00+00:00,0.00050612
2001-05-31 00:00:00+00:00,0.01534829
2001-06-01 00:00:00+00:00,-0.00334784
2001-06-04 00:00:00+00:00,0.00419182
2001-06-05 00:00:00+00:00,-0.00719545
2001-06-06 00:00:00+00:00,0.01100008
2001-06-07 00:00:00+00:00,-0.00434274
2001-06-08 00:00:00+00:00,0.00108796
2001-06-11 00:00:00+00:00,0.01438488
2001-06-12 00:00:00+00:00,-0.00680950
2001-06-13 00:00:00+00:00,-0.01000167
2001-06-14 00:00:00+00:00,-0.01876204
2001-06-15 00:00:00+00:00,0.00465077
2001-06-18 00:00:00+00:00,0.00269928
2001-06-19 00:00:00+00:00,0.01128801
2001-06-20 00:00:00+00:00,0.00100519
2001-06-21 00:00:00+00:00,-0.00435365
2001-06-22 00:00:00+00:00,0.00083907
2001-06-25 00:00:00+00:00,-0.01140653
2001-06-26 00:00:00+00:00,-0.00388022
2001-06-27 00:00:00+00:00,0.00608519
2001-06-28 00:00:00+00:00,0.02713178
2001-06-29 00:00:00+00:00,-0.00906143
2001-07-02 00:00:00+00:00,0.00342380
2001-07-03 00:00:00+00:00,-0.00216739
2001-07-05 00:00:00+00:00,0.02269882
2001-07-06 00:00:00+00:00,-0.01732530
2001-07-09 00:00:00+00:00,-0.00049938
2001-07-10 00:00:00+00:00,-0.01148947
2001-07-11 00:00:00+00:00,-0.00795512
2001-07-12 00:00:00+00:00,0.00664200
2001-07-13 00:00:00+00:00,0.00469248
2001-07-16 00:00:00+00:00,-0.00167196
2001-07-17 00:00:00+00:00,-0.00594043
2001-07-18 00:00:00+00:00,-0.02609717
2001-07-19 00:00:00+00:00,-0.00119048
2001-07-20 00:00:00+00:00,-0.00187186
2001-07-23 00:00:00+00:00,0.01039005
2001-07-24 00:00:00+00:00,-0.01220029
2001-07-25 00:00:00+00:00,-0.00852442
2001-07-26 00:00:00+00:00,0.00205462
2001-07-27 00:00:00+00:00,0.00359189
2001-07-30 00:00:00+00:00,0.00460987
2001-07-31 00:00:00+00:00,-0.00034069
2001-08-01 00:00:00+00:00,-0.01175569
2001-08-02 00:00:00+00:00,-0.00497001
2001-08-03 00:00:00+00:00,-0.00171807
2001-08-06 00:00:00+00:00,0.00447081
2001-08-07 00:00:00+00:00,0.00772068
2001-08-08 00:00:00+00:00,-0.00640916
2001-08-09 00:00:00+00:00,-0.02117472
2001-08-10 00:00:00+00:00,0.00017330
2001-08-13 00:00:00+00:00,-0.00450529
2001-08-14 00:00:00+00:00,-0.01180966
2001-08-15 00:00:00+00:00,-0.02122642
2001-08-16 00:00:00+00:00,0.00256048
2001-08-17 00:00:00+00:00,-0.00123294
2001-08-20 00:00:00+00:00,0.00652097
2001-08-21 00:00:00+00:00,-0.00149319
2001-08-22 00:00:00+00:00,0.00017582
2001-08-23 00:00:00+00:00,-0.00492221
2001-08-24 00:00:00+00:00,0.00537398
2001-08-27 00:00:00+00:00,0.00043937
2001-08-28 00:00:00+00:00,0.00043929
2001-08-29 00:00:00+00:00,0.00105402
2001-08-30 00:00:00+00:00,-0.01211483
2001-08-31 00:00:00+00:00,0.01157039
2001-09-04 00:00:00+00:00,0.03828591
2001-09-05 00:00:00+00:00,-0.00146476
2001-09-06 00:00:00+00:00,-0.01077679
2001-09-07 00:00:00+00:00,-0.01508322
2001-09-10 00:00:00+00:00,0.00952215
2001-09-17 00:00:00+00:00,-0.04147465
2001-09-18 00:00:00+00:00,-0.00373134
2001-09-19 00:00:00+00:00,-0.00480641
2001-09-20 00:00:00+00:00,0.00517488
2001-09-21 00:00:00+00:00,0.02242591
2001-09-24 00:00:00+00:00,-0.00369621
2001-09-25 00:00:00+00:00,-0.01269617
2001-09-26 00:00:00+00:00,-0.00035492
2001-09-27 00:00:00+00:00,0.01455449
2001-09-28 00:00:00+00:00,0.00810573
2001-10-01 00:00:00+00:00,-0.01035451
2001-10-02 00:00:00+00:00,0.00017641
2001-10-03 00:00:00+00:00,0.00511554
2001-10-04 00:00:00+00:00,-0.00211138
2001-10-05 00:00:00+00:00,-0.00440335
2001-10-08 00:00:00+00:00,-0.00600177
2001-10-09 00:00:00+00:00,0.01451841
2001-10-10 00:00:00+00:00,0.00562489
2001-10-11 00:00:00+00:00,0.01314636
2001-10-12 00:00:00+00:00,-0.00992599
2001-10-15 00:00:00+00:00,-0.00210011
2001-10-16 00:00:00+00:00,0.00105116
2001-10-17 00:00:00+00:00,0.00980564
2001-10-18 00:00:00+00:00,-0.00069699
2001-10-19 00:00:00+00:00,0.00766951
2001-10-22 00:00:00+00:00,0.01580135
2001-10-23 00:00:00+00:00,0.00223945
2001-10-24 00:00:00+00:00,-0.00464596
2001-10-25 00:00:00+00:00,-0.00120731
2001-10-26 00:00:00+00:00,0.00017258
2001-10-29 00:00:00+00:00,-0.02053494
2001-10-30 00:00:00+00:00,-0.00078459
2001-10-31 00:00:00+00:00,0.00863347
2001-11-01 00:00:00+00:00,-0.00894485
2001-11-02 00:00:00+00:00,0.00165722
2001-11-05 00:00:00+00:00,0.00906476
2001-11-06 00:00:00+00:00,-0.00338395
2001-11-07 00:00:00+00:00,0.00339042
2001-11-08 00:00:00+00:00,0.00268953
2001-11-09 00:00:00+00:00,-0.00138672
2001-11-12 00:00:00+00:00,0.00398890
2001-11-13 00:00:00+00:00,0.01860666
2001-11-14 00:00:00+00:00,-0.00385869
2001-11-15 00:00:00+00:00,0.00730241
2001-11-16 00:00:00+00:00,-0.00358209
2001-11-19 00:00:00+00:00,0.00999658
