Date,EU-UTILS
2015-03-05 00:00:00+00:00,0.01107352
2015-03-06 00:00:00+00:00,-0.01490721
2015-03-09 00:00:00+00:00,0.00123533
2015-03-10 00:00:00+00:00,-0.01110426
2015-03-11 00:00:00+00:00,0.01307144
2015-03-12 00:00:00+00:00,-0.00030788
2015-03-13 00:00:00+00:00,-0.01262704
2015-03-16 00:00:00+00:00,0.00467873
2015-03-17 00:00:00+00:00,0.01086619
2015-03-18 00:00:00+00:00,0.01555062
2015-03-19 00:00:00+00:00,0.00812500
2015-03-20 00:00:00+00:00,0.01208927
2015-03-23 00:00:00+00:00,-0.00735069
2015-03-24 00:00:00+00:00,-0.00030855
2015-03-25 00:00:00+00:00,0.00061728
2015-03-26 00:00:00+00:00,-0.01295497
2015-03-27 00:00:00+00:00,0.00625000
2015-03-30 00:00:00+00:00,-0.00186335
2015-03-31 00:00:00+00:00,-0.00808961
2015-04-01 00:00:00+00:00,0.00407779
2015-04-02 00:00:00+00:00,-0.01124649
2015-04-07 00:00:00+00:00,0.03570300
2015-04-08 00:00:00+00:00,0.00061013
2015-04-09 00:00:00+00:00,0.00000000
2015-04-10 00:00:00+00:00,0.01128049
2015-04-13 00:00:00+00:00,0.00602954
2015-04-14 00:00:00+00:00,-0.00599341
2015-04-15 00:00:00+00:00,0.00783841
2015-04-16 00:00:00+00:00,-0.00568352
2015-04-17 00:00:00+00:00,-0.01233454
2015-04-20 00:00:00+00:00,0.00091380
2015-04-21 00:00:00+00:00,0.00517346
2015-04-22 00:00:00+00:00,-0.00908265
2015-04-23 00:00:00+00:00,-0.00152765
2015-04-24 00:00:00+00:00,0.02141983
2015-04-27 00:00:00+00:00,0.00329539
2015-04-28 00:00:00+00:00,-0.00567334
2015-04-29 00:00:00+00:00,-0.02252252
2015-04-30 00:00:00+00:00,-0.00737327
2015-05-04 00:00:00+00:00,0.00959455
2015-05-05 00:00:00+00:00,-0.03188228
2015-05-06 00:00:00+00:00,0.00031666
2015-05-07 00:00:00+00:00,0.00031656
2015-05-08 00:00:00+00:00,0.04683544
2015-05-11 00:00:00+00:00,0.00665054
2015-05-12 00:00:00+00:00,-0.00870871
2015-05-13 00:00:00+00:00,-0.00363526
2015-05-14 00:00:00+00:00,0.00972940
2015-05-15 00:00:00+00:00,-0.00692562
2015-05-18 00:00:00+00:00,0.00090964
2015-05-19 00:00:00+00:00,0.01757043
2015-05-20 00:00:00+00:00,0.00863352
2015-05-21 00:00:00+00:00,0.00265643
2015-05-22 00:00:00+00:00,0.00058875
2015-05-26 00:00:00+00:00,-0.02294793
2015-05-27 00:00:00+00:00,0.02017465
2015-05-28 00:00:00+00:00,-0.00619835
2015-05-29 00:00:00+00:00,-0.00653401
2015-06-01 00:00:00+00:00,-0.00328849
2015-06-02 00:00:00+00:00,-0.01169766
2015-06-03 00:00:00+00:00,-0.00182094
2015-06-04 00:00:00+00:00,-0.02189115
2015-06-05 00:00:00+00:00,-0.00528443
2015-06-08 00:00:00+00:00,-0.00815400
2015-06-09 00:00:00+00:00,-0.01386263
2015-06-10 00:00:00+00:00,0.02172524
2015-06-11 00:00:00+00:00,0.00312695
2015-06-12 00:00:00+00:00,-0.01340399
2015-06-15 00:00:00+00:00,-0.02232704
2015-06-16 00:00:00+00:00,0.00000000
2015-06-17 00:00:00+00:00,0.00804117
2015-06-18 00:00:00+00:00,0.00159541
2015-06-19 00:00:00+00:00,0.00669003
2015-06-22 00:00:00+00:00,0.02373418
2015-06-23 00:00:00+00:00,0.00556414
2015-06-24 00:00:00+00:00,-0.00553335
2015-06-25 00:00:00+00:00,-0.00401855
2015-06-26 00:00:00+00:00,0.00124146
2015-06-29 00:00:00+00:00,-0.02665840
2015-06-30 00:00:00+00:00,-0.01146497
2015-07-01 00:00:00+00:00,-0.00128866
2015-07-02 00:00:00+00:00,0.01451613
2015-07-03 00:00:00+00:00,-0.00763116
2015-07-06 00:00:00+00:00,-0.01505928
2015-07-07 00:00:00+00:00,-0.01398829
2015-07-08 00:00:00+00:00,0.00428901
2015-07-09 00:00:00+00:00,0.02463863
2015-07-10 00:00:00+00:00,0.02276371
2015-07-13 00:00:00+00:00,0.00971787
2015-07-14 00:00:00+00:00,0.00217324
2015-07-15 00:00:00+00:00,0.01177200
2015-07-16 00:00:00+00:00,0.01010410
2015-07-17 00:00:00+00:00,-0.00515308
2015-07-20 00:00:00+00:00,0.00517977
2015-07-21 00:00:00+00:00,-0.01333737
2015-07-22 00:00:00+00:00,-0.00153610
2015-07-23 00:00:00+00:00,-0.00615385
2015-07-24 00:00:00+00:00,-0.00433437
2015-07-27 00:00:00+00:00,-0.01430348
2015-07-28 00:00:00+00:00,0.00536278
2015-07-29 00:00:00+00:00,0.00407907
2015-07-30 00:00:00+00:00,0.00468750
2015-07-31 00:00:00+00:00,-0.00093313
2015-08-03 00:00:00+00:00,0.00747198
2015-08-04 00:00:00+00:00,-0.00154512
2015-08-05 00:00:00+00:00,0.01454658
2015-08-06 00:00:00+00:00,-0.00061013
2015-08-07 00:00:00+00:00,-0.00702076
2015-08-10 00:00:00+00:00,0.00245927
