Date,EPRA-EUROPE
2023-06-06 00:00:00+00:00,0.01054520
2023-06-07 00:00:00+00:00,0.00499011
2023-06-08 00:00:00+00:00,-0.01354734
2023-06-09 00:00:00+00:00,0.01710295
2023-06-12 00:00:00+00:00,-0.02379833
2023-06-13 00:00:00+00:00,-0.02165858
2023-06-14 00:00:00+00:00,0.01630002
2023-06-15 00:00:00+00:00,-0.01827966
2023-06-16 00:00:00+00:00,0.01177894
2023-06-19 00:00:00+00:00,-0.03055555
2023-06-20 00:00:00+00:00,-0.01726782
2023-06-21 00:00:00+00:00,-0.03143125
2023-06-22 00:00:00+00:00,-0.02280633
2023-06-23 00:00:00+00:00,-0.02934352
2023-06-26 00:00:00+00:00,-0.00466913
2023-06-27 00:00:00+00:00,0.00621383
2023-06-28 00:00:00+00:00,0.03876460
2023-06-29 00:00:00+00:00,-0.02732848
2023-06-30 00:00:00+00:00,0.01954591
2023-07-03 00:00:00+00:00,0.05749561
2023-07-04 00:00:00+00:00,-0.01394544
2023-07-05 00:00:00+00:00,0.05441564
2023-07-06 00:00:00+00:00,-0.07733773
2023-07-07 00:00:00+00:00,0.00311136
2023-07-10 00:00:00+00:00,-0.01582651
2023-07-11 00:00:00+00:00,0.05293992
2023-07-12 00:00:00+00:00,0.06192509
2023-07-13 00:00:00+00:00,0.00848081
2023-07-14 00:00:00+00:00,-0.01499493
2023-07-17 00:00:00+00:00,-0.02794992
2023-07-18 00:00:00+00:00,0.02588378
2023-07-19 00:00:00+00:00,0.07942393
2023-07-20 00:00:00+00:00,-0.00184549
2023-07-21 00:00:00+00:00,-0.00619617
2023-07-24 00:00:00+00:00,-0.00351750
2023-07-25 00:00:00+00:00,0.00016327
2023-07-26 00:00:00+00:00,0.01327627
2023-07-27 00:00:00+00:00,-0.00317351
2023-07-28 00:00:00+00:00,-0.02121431
2023-07-31 00:00:00+00:00,0.00657560
2023-08-01 00:00:00+00:00,-0.01765729
2023-08-02 00:00:00+00:00,-0.03477194
2023-08-03 00:00:00+00:00,0.00465985
2023-08-04 00:00:00+00:00,0.01015765
2023-08-07 00:00:00+00:00,-0.01319114
2023-08-08 00:00:00+00:00,-0.00327710
2023-08-09 00:00:00+00:00,0.01329350
2023-08-10 00:00:00+00:00,0.01457816
2023-08-11 00:00:00+00:00,-0.02212520
2023-08-14 00:00:00+00:00,-0.00637115
2023-08-15 00:00:00+00:00,-0.01986257
2023-08-16 00:00:00+00:00,0.00191926
2023-08-17 00:00:00+00:00,-0.02665449
2023-08-18 00:00:00+00:00,-0.03513118
2023-08-21 00:00:00+00:00,-0.02281126
2023-08-22 00:00:00+00:00,0.01872750
2023-08-23 00:00:00+00:00,0.04087634
2023-08-24 00:00:00+00:00,0.00335345
2023-08-25 00:00:00+00:00,-0.00721968
2023-08-28 00:00:00+00:00,0.01113601
2023-08-29 00:00:00+00:00,0.02794444
2023-08-30 00:00:00+00:00,0.00398467
2023-08-31 00:00:00+00:00,0.03856654
2023-09-01 00:00:00+00:00,-0.02053305
2023-09-04 00:00:00+00:00,-0.01594257
2023-09-05 00:00:00+00:00,-0.00639307
2023-09-06 00:00:00+00:00,0.01090622
2023-09-07 00:00:00+00:00,-0.01394788
2023-09-08 00:00:00+00:00,-0.00156097
2023-09-11 00:00:00+00:00,0.03660616
2023-09-12 00:00:00+00:00,-0.00702836
2023-09-13 00:00:00+00:00,0.01365062
2023-09-14 00:00:00+00:00,0.04948348
