Date,COAL
2007-11-27 00:00:00+00:00,-0.00418113
2007-11-28 00:00:00+00:00,0.02205071
2007-11-29 00:00:00+00:00,-0.05616755
2007-11-30 00:00:00+00:00,-0.01457613
2007-12-03 00:00:00+00:00,-0.02511614
2007-12-04 00:00:00+00:00,0.00828660
2007-12-05 00:00:00+00:00,0.00934559
2007-12-06 00:00:00+00:00,0.03012241
2007-12-07 00:00:00+00:00,0.02255819
2007-12-10 00:00:00+00:00,0.01897538
2007-12-11 00:00:00+00:00,0.01303356
2007-12-12 00:00:00+00:00,-0.00811720
2007-12-13 00:00:00+00:00,0.01795746
2007-12-14 00:00:00+00:00,-0.01286333
2007-12-17 00:00:00+00:00,-0.02333147
2007-12-18 00:00:00+00:00,-0.02037152
2007-12-19 00:00:00+00:00,-0.00016506
2007-12-20 00:00:00+00:00,0.02077917
2007-12-21 00:00:00+00:00,0.01760360
2007-12-24 00:00:00+00:00,-0.00017631
2007-12-26 00:00:00+00:00,-0.00008486
2007-12-27 00:00:00+00:00,-0.00129197
2007-12-28 00:00:00+00:00,0.01915126
2007-12-31 00:00:00+00:00,-0.00017894
2008-01-02 00:00:00+00:00,0.01385603
2008-01-03 00:00:00+00:00,-0.00371795
2008-01-04 00:00:00+00:00,0.01915572
2008-01-07 00:00:00+00:00,0.04287764
2008-01-08 00:00:00+00:00,-0.01320132
2008-01-09 00:00:00+00:00,-0.00055971
2008-01-10 00:00:00+00:00,0.00368636
2008-01-11 00:00:00+00:00,-0.04040077
2008-01-14 00:00:00+00:00,0.00777931
2008-01-15 00:00:00+00:00,-0.01586437
2008-01-16 00:00:00+00:00,-0.03198087
2008-01-17 00:00:00+00:00,-0.06468424
2008-01-18 00:00:00+00:00,0.06678166
2008-01-21 00:00:00+00:00,-0.03652758
2008-01-22 00:00:00+00:00,-0.03718598
2008-01-23 00:00:00+00:00,-0.08316642
2008-01-24 00:00:00+00:00,0.10285419
2008-01-25 00:00:00+00:00,0.12612697
2008-01-28 00:00:00+00:00,0.07044012
2008-01-29 00:00:00+00:00,0.01511795
2008-01-30 00:00:00+00:00,0.05635198
2008-01-31 00:00:00+00:00,0.01088977
2008-02-01 00:00:00+00:00,0.01080413
2008-02-04 00:00:00+00:00,-0.00014783
2008-02-05 00:00:00+00:00,-0.02179941
2008-02-06 00:00:00+00:00,-0.01296432
2008-02-07 00:00:00+00:00,0.00539815
2008-02-08 00:00:00+00:00,0.02016003
2008-02-11 00:00:00+00:00,-0.02487566
2008-02-12 00:00:00+00:00,0.02454614
2008-02-13 00:00:00+00:00,0.08263279
2008-02-14 00:00:00+00:00,0.01502903
2008-02-15 00:00:00+00:00,0.04591022
2008-02-18 00:00:00+00:00,-0.02756304
2008-02-19 00:00:00+00:00,-0.02134311
2008-02-20 00:00:00+00:00,-0.06747247
2008-02-21 00:00:00+00:00,0.04919538
2008-02-22 00:00:00+00:00,0.01686824
2008-02-25 00:00:00+00:00,0.00616022
2008-02-26 00:00:00+00:00,-0.01339947
2008-02-27 00:00:00+00:00,0.03882057
2008-02-28 00:00:00+00:00,0.00397106
2008-02-29 00:00:00+00:00,0.01803249
2008-03-03 00:00:00+00:00,-0.03904951
2008-03-04 00:00:00+00:00,-0.00693458
2008-03-05 00:00:00+00:00,-0.00394728
2008-03-06 00:00:00+00:00,0.01065880
2008-03-07 00:00:00+00:00,-0.00707103
2008-03-10 00:00:00+00:00,-0.04367809
2008-03-11 00:00:00+00:00,-0.01283298
2008-03-12 00:00:00+00:00,0.00706905
2008-03-13 00:00:00+00:00,-0.01789367
2008-03-14 00:00:00+00:00,0.00707474
2008-03-17 00:00:00+00:00,-0.04563449
2008-03-18 00:00:00+00:00,-0.02318698
2008-03-19 00:00:00+00:00,-0.08528899
2008-03-20 00:00:00+00:00,-0.04467745
2008-03-25 00:00:00+00:00,0.00977843
2008-03-26 00:00:00+00:00,0.02743706
2008-03-27 00:00:00+00:00,0.06201364
2008-03-28 00:00:00+00:00,-0.02046348
2008-03-31 00:00:00+00:00,-0.03665321
2008-04-01 00:00:00+00:00,-0.05438834
2008-04-02 00:00:00+00:00,-0.01207655
2008-04-03 00:00:00+00:00,0.00389115
2008-04-04 00:00:00+00:00,0.08404495
2008-04-07 00:00:00+00:00,0.01139154
2008-04-08 00:00:00+00:00,-0.01157460
2008-04-09 00:00:00+00:00,-0.00396133
2008-04-10 00:00:00+00:00,0.04295673
2008-04-11 00:00:00+00:00,0.02431659
2008-04-14 00:00:00+00:00,0.00364042
2008-04-15 00:00:00+00:00,0.02002813
2008-04-16 00:00:00+00:00,0.04698403
2008-04-17 00:00:00+00:00,-0.02136066
2008-04-18 00:00:00+00:00,0.00346084
2008-04-21 00:00:00+00:00,0.04282103
2008-04-22 00:00:00+00:00,0.01421339
2008-04-23 00:00:00+00:00,-0.00046769
2008-04-24 00:00:00+00:00,0.01029550
2008-04-25 00:00:00+00:00,-0.02953626
2008-04-28 00:00:00+00:00,-0.01240576
2008-04-29 00:00:00+00:00,-0.00788811
2008-04-30 00:00:00+00:00,0.01120778
2008-05-01 00:00:00+00:00,0.01395917
2008-05-02 00:00:00+00:00,0.04882280
2008-05-06 00:00:00+00:00,0.02555335
2008-05-07 00:00:00+00:00,0.00829873
2008-05-08 00:00:00+00:00,0.00154585
2008-05-09 00:00:00+00:00,0.01000400
2008-05-12 00:00:00+00:00,0.00824257
2008-05-13 00:00:00+00:00,0.01377029
2008-05-14 00:00:00+00:00,0.02183154
2008-05-15 00:00:00+00:00,0.01728811
2008-05-16 00:00:00+00:00,0.02327530
2008-05-19 00:00:00+00:00,0.02647841
2008-05-20 00:00:00+00:00,-0.00013742
2008-05-21 00:00:00+00:00,0.00327845
2008-05-22 00:00:00+00:00,0.10487010
2008-05-23 00:00:00+00:00,0.00372015
2008-05-27 00:00:00+00:00,0.02268954
