Date,BTP
2011-04-12 00:00:00+00:00,0.00440145
2011-04-13 00:00:00+00:00,-0.00264996
2011-04-14 00:00:00+00:00,-0.00137547
2011-04-15 00:00:00+00:00,-0.00101051
2011-04-18 00:00:00+00:00,-0.00321418
2011-04-19 00:00:00+00:00,0.00202409
2011-04-20 00:00:00+00:00,0.00119280
2011-04-21 00:00:00+00:00,-0.00183732
2011-04-26 00:00:00+00:00,-0.00349609
2011-04-27 00:00:00+00:00,-0.00018625
2011-04-28 00:00:00+00:00,0.00433660
2011-04-29 00:00:00+00:00,0.00303134
2011-05-02 00:00:00+00:00,0.00073194
2011-05-03 00:00:00+00:00,0.00146397
2011-05-04 00:00:00+00:00,0.00045625
2011-05-05 00:00:00+00:00,0.00191858
2011-05-06 00:00:00+00:00,0.00127637
2011-05-09 00:00:00+00:00,-0.00082002
2011-05-10 00:00:00+00:00,0.00227803
2011-05-11 00:00:00+00:00,0.00027216
2011-05-12 00:00:00+00:00,0.00381824
2011-05-13 00:00:00+00:00,-0.00199345
2011-05-16 00:00:00+00:00,0.00208680
2011-05-17 00:00:00+00:00,-0.00190314
2011-05-18 00:00:00+00:00,-0.00081784
2011-05-19 00:00:00+00:00,-0.00163606
2011-05-20 00:00:00+00:00,-0.00063805
2011-05-23 00:00:00+00:00,-0.00318729
2011-05-24 00:00:00+00:00,0.00237266
2011-05-25 00:00:00+00:00,0.00446232
2011-05-26 00:00:00+00:00,0.00689138
2011-05-27 00:00:00+00:00,-0.00444031
2011-05-30 00:00:00+00:00,-0.00462986
2011-05-31 00:00:00+00:00,-0.00082197
2011-06-01 00:00:00+00:00,0.00782624
2011-06-02 00:00:00+00:00,-0.01196588
2011-06-03 00:00:00+00:00,0.00531961
2011-06-07 00:00:00+00:00,-0.00903495
2011-06-08 00:00:00+00:00,-0.00230316
2011-06-09 00:00:00+00:00,-0.00369293
2011-06-10 00:00:00+00:00,0.00222211
2011-06-13 00:00:00+00:00,0.00120031
2011-06-14 00:00:00+00:00,0.00258346
2011-06-15 00:00:00+00:00,-0.00506601
2011-06-16 00:00:00+00:00,-0.00129689
2011-06-17 00:00:00+00:00,0.00305733
2011-06-20 00:00:00+00:00,-0.00267987
2011-06-21 00:00:00+00:00,0.00212992
2011-06-22 00:00:00+00:00,-0.00397527
2011-06-23 00:00:00+00:00,-0.00426942
2011-06-24 00:00:00+00:00,-0.00316948
2011-06-27 00:00:00+00:00,-0.00028106
2011-06-28 00:00:00+00:00,0.00084092
2011-06-29 00:00:00+00:00,0.00130765
2011-06-30 00:00:00+00:00,0.00671900
2011-07-01 00:00:00+00:00,0.00074113
2011-07-04 00:00:00+00:00,-0.00305747
2011-07-05 00:00:00+00:00,-0.00613283
2011-07-06 00:00:00+00:00,-0.00953655
2011-07-07 00:00:00+00:00,-0.00877933
2011-07-08 00:00:00+00:00,-0.00542883
2011-07-11 00:00:00+00:00,-0.03447011
2011-07-12 00:00:00+00:00,0.01110587
2011-07-13 00:00:00+00:00,0.00186334
2011-07-14 00:00:00+00:00,-0.00802769
2011-07-15 00:00:00+00:00,-0.01036241
2011-07-18 00:00:00+00:00,-0.01276454
