Date,SP400
2003-05-02 00:00:00+00:00,0.01593282
2003-05-05 00:00:00+00:00,0.00311198
2003-05-06 00:00:00+00:00,0.00466793
2003-05-07 00:00:00+00:00,-0.00270302
2003-05-08 00:00:00+00:00,-0.00739936
2003-05-09 00:00:00+00:00,0.01189337
2003-05-12 00:00:00+00:00,0.01153083
2003-05-13 00:00:00+00:00,0.00019006
2003-05-14 00:00:00+00:00,0.00085032
2003-05-15 00:00:00+00:00,0.00282512
2003-05-16 00:00:00+00:00,-0.00637671
2003-05-19 00:00:00+00:00,-0.01963673
2003-05-20 00:00:00+00:00,-0.00137637
2003-05-21 00:00:00+00:00,0.00424571
2003-05-22 00:00:00+00:00,0.00893314
2003-05-23 00:00:00+00:00,0.00929767
2003-05-27 00:00:00+00:00,0.01669181
2003-05-28 00:00:00+00:00,0.00126814
2003-05-29 00:00:00+00:00,0.00342783
2003-05-30 00:00:00+00:00,0.02236889
2003-06-02 00:00:00+00:00,0.00481433
2003-06-03 00:00:00+00:00,-0.00422287
2003-06-04 00:00:00+00:00,0.02451708
2003-06-05 00:00:00+00:00,0.02172614
2003-06-06 00:00:00+00:00,-0.01422822
2003-06-09 00:00:00+00:00,-0.03624151
2003-06-10 00:00:00+00:00,0.02626066
2003-06-11 00:00:00+00:00,0.02217638
2003-06-12 00:00:00+00:00,0.00651873
2003-06-13 00:00:00+00:00,-0.01411359
2003-06-16 00:00:00+00:00,0.01696065
2003-06-17 00:00:00+00:00,0.00119755
2003-06-18 00:00:00+00:00,-0.00470277
2003-06-19 00:00:00+00:00,-0.00983229
2003-06-20 00:00:00+00:00,-0.00538900
2003-06-23 00:00:00+00:00,-0.01019086
2003-06-24 00:00:00+00:00,0.00018700
2003-06-25 00:00:00+00:00,0.00144206
2003-06-26 00:00:00+00:00,0.01044032
2003-06-27 00:00:00+00:00,-0.00209500
2003-06-30 00:00:00+00:00,-0.00334435
2003-07-01 00:00:00+00:00,0.00559821
2003-07-02 00:00:00+00:00,0.01364382
2003-07-03 00:00:00+00:00,-0.00615231
2003-07-07 00:00:00+00:00,0.01847546
2003-07-08 00:00:00+00:00,0.00764430
2003-07-09 00:00:00+00:00,0.00358074
2003-07-10 00:00:00+00:00,-0.01918216
2003-07-11 00:00:00+00:00,0.01218322
2003-07-14 00:00:00+00:00,0.00881978
2003-07-15 00:00:00+00:00,-0.00181819
2003-07-16 00:00:00+00:00,-0.00661169
2003-07-17 00:00:00+00:00,-0.01951424
2003-07-18 00:00:00+00:00,0.00981162
2003-07-21 00:00:00+00:00,-0.00672115
2003-07-22 00:00:00+00:00,0.00794204
2003-07-23 00:00:00+00:00,0.00017754
2003-07-24 00:00:00+00:00,-0.00752247
2003-07-25 00:00:00+00:00,0.00630384
2003-07-28 00:00:00+00:00,0.00788611
2003-07-29 00:00:00+00:00,0.00057692
2003-07-30 00:00:00+00:00,-0.00163586
2003-07-31 00:00:00+00:00,0.00098176
2003-08-01 00:00:00+00:00,-0.01210299
2003-08-04 00:00:00+00:00,-0.00267513
2003-08-05 00:00:00+00:00,-0.02004682
2003-08-06 00:00:00+00:00,0.00059970
2003-08-07 00:00:00+00:00,0.00518264
2003-08-08 00:00:00+00:00,0.00266791
2003-08-11 00:00:00+00:00,0.00762209
2003-08-12 00:00:00+00:00,0.01228158
2003-08-13 00:00:00+00:00,0.00058179
2003-08-14 00:00:00+00:00,0.00240402
2003-08-15 00:00:00+00:00,0.00805497
2003-08-18 00:00:00+00:00,0.01199780
2003-08-19 00:00:00+00:00,0.00492411
2003-08-20 00:00:00+00:00,-0.00002611
2003-08-21 00:00:00+00:00,0.01081105
2003-08-22 00:00:00+00:00,-0.00977326
2003-08-25 00:00:00+00:00,-0.00258628
2003-08-26 00:00:00+00:00,-0.00061957
2003-08-27 00:00:00+00:00,0.00490945
2003-08-28 00:00:00+00:00,0.01058432
2003-08-29 00:00:00+00:00,0.00872309
2003-09-02 00:00:00+00:00,0.01096050
2003-09-03 00:00:00+00:00,0.00740885
2003-09-04 00:00:00+00:00,0.00164980
2003-09-05 00:00:00+00:00,-0.01069005
2003-09-08 00:00:00+00:00,0.01902386
2003-09-09 00:00:00+00:00,-0.01215841
2003-09-10 00:00:00+00:00,-0.03619580
2003-09-11 00:00:00+00:00,0.00458849
2003-09-12 00:00:00+00:00,0.00631684
2003-09-15 00:00:00+00:00,-0.00213797
2003-09-16 00:00:00+00:00,0.01305808
2003-09-17 00:00:00+00:00,-0.00249525
2003-09-18 00:00:00+00:00,0.01196946
2003-09-19 00:00:00+00:00,-0.00397719
2003-09-22 00:00:00+00:00,-0.00682598
2003-09-23 00:00:00+00:00,0.00701106
2003-09-24 00:00:00+00:00,-0.01626729
2003-09-25 00:00:00+00:00,-0.01653544
2003-09-26 00:00:00+00:00,-0.00841935
2003-09-29 00:00:00+00:00,0.01336013
2003-09-30 00:00:00+00:00,-0.00857284
2003-10-01 00:00:00+00:00,0.02035034
2003-10-02 00:00:00+00:00,0.00707918
2003-10-03 00:00:00+00:00,0.01293931
2003-10-06 00:00:00+00:00,0.00486824
2003-10-07 00:00:00+00:00,0.00203503
2003-10-08 00:00:00+00:00,-0.00133313
2003-10-09 00:00:00+00:00,0.00465444
2003-10-10 00:00:00+00:00,0.00276961
2003-10-13 00:00:00+00:00,0.01149302
2003-10-14 00:00:00+00:00,-0.00002500
2003-10-15 00:00:00+00:00,-0.00920788
2003-10-16 00:00:00+00:00,0.00701842
2003-10-17 00:00:00+00:00,-0.01530243
2003-10-20 00:00:00+00:00,0.00857271
2003-10-21 00:00:00+00:00,0.00071518
2003-10-22 00:00:00+00:00,-0.01206301
2003-10-23 00:00:00+00:00,-0.00471201
2003-10-24 00:00:00+00:00,0.00185727
2003-10-27 00:00:00+00:00,0.00655270
2003-10-28 00:00:00+00:00,0.02014168
2003-10-29 00:00:00+00:00,-0.00002611
2003-10-30 00:00:00+00:00,0.00217062
2003-10-31 00:00:00+00:00,0.00180051
2003-11-03 00:00:00+00:00,0.00945498
2003-11-04 00:00:00+00:00,-0.00002625
2003-11-05 00:00:00+00:00,0.00557273
2003-11-06 00:00:00+00:00,0.00931311
2003-11-07 00:00:00+00:00,-0.00536433
2003-11-10 00:00:00+00:00,-0.01183291
