,model,benchmark,alpha
2020-03-31 00:00:00+00:00,0.00176093,-0.00246119,0.00028902
2020-04-30 00:00:00+00:00,-0.00907277,-0.00428283,-0.01161232
2020-05-31 00:00:00+00:00,-0.00042506,0.00000000,0.00900063
2020-06-30 00:00:00+00:00,-0.00148837,-0.00148547,0.01288688
2020-07-31 00:00:00+00:00,0.08464164,-0.00075281,0.05773655
2020-08-31 00:00:00+00:00,0.02741694,0.00051498,0.04103690
2020-09-30 00:00:00+00:00,-0.03699051,-0.00152349,-0.01812553
2020-10-31 00:00:00+00:00,-0.02084487,0.00000000,-0.01956185
2020-11-30 00:00:00+00:00,0.00965521,-0.00835890,-0.00276864
2020-12-31 00:00:00+00:00,0.06279983,0.00055897,0.00688537
2021-01-31 00:00:00+00:00,-0.01018017,0.00000000,0.00182095
2021-02-28 00:00:00+00:00,0.05450185,0.00000000,0.02488741
2021-03-31 00:00:00+00:00,0.02825093,0.00341320,0.01904063
2021-04-30 00:00:00+00:00,0.00400572,-0.00375444,-0.02530831
2021-05-31 00:00:00+00:00,0.00798270,-0.00066501,-0.01129720
2021-06-30 00:00:00+00:00,-0.00120216,-0.00037771,0.00880418
2021-07-31 00:00:00+00:00,-0.01541066,0.00000000,-0.01813333
2021-08-31 00:00:00+00:00,-0.00050135,-0.00399292,0.00222244
2021-09-30 00:00:00+00:00,0.00484876,-0.00064719,-0.00091240
2021-10-31 00:00:00+00:00,0.03246257,0.00000000,0.00666442
2021-11-30 00:00:00+00:00,-0.03115467,-0.01410586,0.00656347
2021-12-31 00:00:00+00:00,0.00621926,-0.00669593,0.00256961
2022-01-31 00:00:00+00:00,0.01007804,-0.00114793,-0.01127081
2022-02-28 00:00:00+00:00,0.01300736,0.00053763,-0.01193688
2022-03-31 00:00:00+00:00,0.05248189,-0.00696319,-0.02419456
2022-04-30 00:00:00+00:00,0.05735326,0.00000000,-0.00095661
2022-05-31 00:00:00+00:00,-0.00664264,0.00210488,-0.00492645
2022-06-30 00:00:00+00:00,0.02205461,-0.00635511,0.00698047
2022-07-31 00:00:00+00:00,-0.02689407,0.00000000,0.00514151
2022-08-31 00:00:00+00:00,0.02509367,-0.00314367,-0.00585459
2022-09-30 00:00:00+00:00,0.06995523,-0.00145036,0.03139152
2022-10-31 00:00:00+00:00,-0.00974094,0.00535560,-0.01245183
2022-11-30 00:00:00+00:00,-0.01989133,-0.00306904,0.03472583
2022-12-31 00:00:00+00:00,0.00126528,0.00000000,0.00471212
2023-01-31 00:00:00+00:00,0.00434148,-0.00189549,0.01520211
2023-02-28 00:00:00+00:00,-0.01431560,0.00017905,-0.03236376
2023-03-31 00:00:00+00:00,-0.05394526,-0.00109899,0.01269479
2023-04-30 00:00:00+00:00,0.00262207,0.00000000,-0.01476570
2023-05-31 00:00:00+00:00,-0.00634697,-0.00724673,-0.02287331
2023-06-30 00:00:00+00:00,0.02837822,0.00393867,0.01844785
2023-07-31 00:00:00+00:00,-0.01092906,-0.00053197,0.00275055
2023-08-31 00:00:00+00:00,-0.02822674,-0.00226039,-0.01963700
2023-09-30 00:00:00+00:00,0.03296740,0.00000000,0.00216819
2023-10-31 00:00:00+00:00,0.00110939,0.00613654,0.01492302
2023-11-30 00:00:00+00:00,-0.03536762,-0.00027144,0.00206062
2023-12-31 00:00:00+00:00,0.01301755,0.00000000,0.02437478
2024-01-31 00:00:00+00:00,-0.02999426,-0.00509572,-0.03674876
2024-02-29 00:00:00+00:00,0.02166467,-0.00000787,-0.02334995
2024-03-31 00:00:00+00:00,0.03087371,0.00000000,-0.00090805
