Date,US10U
2017-04-20 00:00:00+00:00,-0.00128145
2017-04-21 00:00:00+00:00,-0.00323171
2017-04-23 00:00:00+00:00,-0.00634728
2017-04-24 00:00:00+00:00,0.00009366
2017-04-25 00:00:00+00:00,0.00182855
2017-04-26 00:00:00+00:00,-0.00348832
2017-04-27 00:00:00+00:00,0.00183220
2017-04-28 00:00:00+00:00,0.00194460
2017-04-30 00:00:00+00:00,0.00136338
2017-05-01 00:00:00+00:00,-0.00175215
2017-05-02 00:00:00+00:00,-0.00233419
2017-05-03 00:00:00+00:00,0.00333345
2017-05-04 00:00:00+00:00,-0.00337083
2017-05-05 00:00:00+00:00,-0.00129837
2017-05-07 00:00:00+00:00,-0.00129999
2017-05-08 00:00:00+00:00,0.00078770
2017-05-09 00:00:00+00:00,-0.00338891
2017-05-10 00:00:00+00:00,-0.00014135
2017-05-11 00:00:00+00:00,-0.00118843
2017-05-12 00:00:00+00:00,0.00149038
2017-05-14 00:00:00+00:00,0.00521119
2017-05-15 00:00:00+00:00,-0.00118202
2017-05-16 00:00:00+00:00,-0.00025717
2017-05-17 00:00:00+00:00,0.00403150
2017-05-18 00:00:00+00:00,0.00436100
2017-05-19 00:00:00+00:00,0.00066419
2017-05-21 00:00:00+00:00,-0.00059964
2017-05-22 00:00:00+00:00,-0.00014003
2017-05-23 00:00:00+00:00,0.00158298
2017-05-24 00:00:00+00:00,-0.00450088
2017-05-25 00:00:00+00:00,0.00204880
2017-05-26 00:00:00+00:00,0.00077918
2017-05-28 00:00:00+00:00,0.00008896
2017-05-29 00:00:00+00:00,-0.00060055
2017-05-30 00:00:00+00:00,0.00204371
2017-05-31 00:00:00+00:00,0.00020232
2017-06-01 00:00:00+00:00,0.00157903
2017-06-02 00:00:00+00:00,-0.00701377
2017-06-04 00:00:00+00:00,0.00550917
2017-06-05 00:00:00+00:00,-0.00071526
2017-06-06 00:00:00+00:00,0.00077618
2017-06-07 00:00:00+00:00,0.00077509
2017-06-08 00:00:00+00:00,-0.00231975
2017-06-09 00:00:00+00:00,-0.00129144
2017-06-11 00:00:00+00:00,-0.00083300
2017-06-12 00:00:00+00:00,-0.00037303
2017-06-13 00:00:00+00:00,0.00008711
2017-06-14 00:00:00+00:00,0.00077781
2017-06-15 00:00:00+00:00,0.00595352
2017-06-16 00:00:00+00:00,-0.00311556
2017-06-18 00:00:00+00:00,0.00157779
2017-06-19 00:00:00+00:00,0.00008644
2017-06-20 00:00:00+00:00,-0.00289101
2017-06-21 00:00:00+00:00,0.00272848
2017-06-22 00:00:00+00:00,0.00043147
2017-06-23 00:00:00+00:00,-0.00002661
2017-06-25 00:00:00+00:00,0.00077467
2017-06-26 00:00:00+00:00,-0.00048418
2017-06-27 00:00:00+00:00,0.00157371
2017-06-28 00:00:00+00:00,-0.00825383
2017-06-29 00:00:00+00:00,-0.00095014
2017-06-30 00:00:00+00:00,-0.00440977
2017-07-02 00:00:00+00:00,-0.00199709
2017-07-03 00:00:00+00:00,-0.00037661
2017-07-04 00:00:00+00:00,0.00078404
