Date,AUD
2001-02-01 00:00:00+00:00,0.01842705
2001-02-02 00:00:00+00:00,-0.00879183
2001-02-05 00:00:00+00:00,-0.00919247
2001-02-06 00:00:00+00:00,-0.00341160
2001-02-07 00:00:00+00:00,-0.00997646
2001-02-08 00:00:00+00:00,-0.04555015
2001-02-09 00:00:00+00:00,0.00885715
2001-02-12 00:00:00+00:00,0.00881688
2001-02-13 00:00:00+00:00,-0.01629210
2001-02-14 00:00:00+00:00,-0.01473822
2001-02-15 00:00:00+00:00,-0.02578350
2001-02-16 00:00:00+00:00,0.02393460
2001-02-20 00:00:00+00:00,-0.02203145
2001-02-21 00:00:00+00:00,0.00024584
2001-02-22 00:00:00+00:00,-0.00127955
2001-02-23 00:00:00+00:00,0.00845870
2001-02-26 00:00:00+00:00,-0.01115522
2001-02-27 00:00:00+00:00,0.00923697
2001-02-28 00:00:00+00:00,0.00215128
2001-03-01 00:00:00+00:00,0.00822983
2001-03-02 00:00:00+00:00,0.00365360
2001-03-05 00:00:00+00:00,-0.03129217
2001-03-06 00:00:00+00:00,-0.01029801
2001-03-07 00:00:00+00:00,-0.03484247
2001-03-08 00:00:00+00:00,0.00517264
2001-03-09 00:00:00+00:00,-0.00913215
2001-03-12 00:00:00+00:00,0.00085661
2001-03-13 00:00:00+00:00,-0.02135628
2001-03-14 00:00:00+00:00,-0.03548950
2001-03-15 00:00:00+00:00,-0.00416684
2001-03-16 00:00:00+00:00,0.00576674
2001-03-19 00:00:00+00:00,0.01769820
2001-03-20 00:00:00+00:00,0.01593642
2001-03-21 00:00:00+00:00,-0.03118138
2001-03-22 00:00:00+00:00,-0.00942227
2001-03-23 00:00:00+00:00,0.01654522
2001-03-26 00:00:00+00:00,0.01842285
2001-03-27 00:00:00+00:00,-0.00850214
2001-03-28 00:00:00+00:00,-0.02016964
2001-03-29 00:00:00+00:00,-0.00457337
2001-03-30 00:00:00+00:00,-0.03016078
2001-04-02 00:00:00+00:00,-0.02567259
2001-04-03 00:00:00+00:00,0.03370796
2001-04-04 00:00:00+00:00,0.00768877
2001-04-05 00:00:00+00:00,0.00643369
2001-04-06 00:00:00+00:00,0.02883387
2001-04-09 00:00:00+00:00,-0.01618422
2001-04-10 00:00:00+00:00,0.00799181
2001-04-11 00:00:00+00:00,0.03095704
2001-04-12 00:00:00+00:00,0.02333060
2001-04-16 00:00:00+00:00,0.00538552
2001-04-17 00:00:00+00:00,-0.02869988
2001-04-18 00:00:00+00:00,-0.00209261
2001-04-19 00:00:00+00:00,0.04881198
2001-04-20 00:00:00+00:00,0.00377629
2001-04-23 00:00:00+00:00,-0.04387384
2001-04-24 00:00:00+00:00,-0.00366714
2001-04-25 00:00:00+00:00,0.00465735
2001-04-26 00:00:00+00:00,0.01493682
2001-04-27 00:00:00+00:00,-0.00285343
2001-04-30 00:00:00+00:00,0.01543325
2001-05-01 00:00:00+00:00,0.02370396
2001-05-02 00:00:00+00:00,0.00568092
2001-05-03 00:00:00+00:00,-0.00510361
2001-05-04 00:00:00+00:00,0.00413972
2001-05-07 00:00:00+00:00,-0.00471711
2001-05-08 00:00:00+00:00,-0.01436658
2001-05-09 00:00:00+00:00,0.03232704
2001-05-10 00:00:00+00:00,-0.00010084
