Date,HANGENT
2023-10-17 00:00:00+00:00,0.01386706
2023-10-18 00:00:00+00:00,-0.00687238
2023-10-19 00:00:00+00:00,-0.05192920
2023-10-20 00:00:00+00:00,-0.01719140
2023-10-24 00:00:00+00:00,-0.02857460
2023-10-25 00:00:00+00:00,0.02901413
2023-10-26 00:00:00+00:00,-0.00508841
2023-10-27 00:00:00+00:00,0.03415236
2023-10-30 00:00:00+00:00,-0.00481286
2023-10-31 00:00:00+00:00,-0.03534424
2023-11-01 00:00:00+00:00,-0.00541758
2023-11-02 00:00:00+00:00,0.02640038
2023-11-03 00:00:00+00:00,0.04016327
2023-11-06 00:00:00+00:00,0.04530963
2023-11-07 00:00:00+00:00,-0.03187076
2023-11-08 00:00:00+00:00,-0.01340514
2023-11-09 00:00:00+00:00,-0.01250829
2023-11-10 00:00:00+00:00,-0.04076193
2023-11-13 00:00:00+00:00,0.03385202
2023-11-14 00:00:00+00:00,-0.01246088
2023-11-15 00:00:00+00:00,0.08387858
2023-11-16 00:00:00+00:00,-0.02746113
2023-11-17 00:00:00+00:00,-0.04497138
2023-11-20 00:00:00+00:00,0.03525382
2023-11-21 00:00:00+00:00,-0.00668174
2023-11-22 00:00:00+00:00,0.00050266
2023-11-23 00:00:00+00:00,0.03161959
2023-11-24 00:00:00+00:00,-0.04172498
2023-11-27 00:00:00+00:00,-0.00212791
2023-11-28 00:00:00+00:00,-0.02947206
2023-11-29 00:00:00+00:00,-0.04713387
2023-11-30 00:00:00+00:00,0.00721126
2023-12-01 00:00:00+00:00,-0.02608995
2023-12-04 00:00:00+00:00,-0.01709185
2023-12-05 00:00:00+00:00,-0.03972654
2023-12-06 00:00:00+00:00,0.02065176
2023-12-07 00:00:00+00:00,-0.01880721
2023-12-08 00:00:00+00:00,-0.00849836
2023-12-11 00:00:00+00:00,-0.02619522
2023-12-12 00:00:00+00:00,0.03346428
2023-12-13 00:00:00+00:00,-0.02254758
2023-12-14 00:00:00+00:00,0.01315568
2023-12-15 00:00:00+00:00,0.03878400
2023-12-18 00:00:00+00:00,-0.02748171
2023-12-19 00:00:00+00:00,-0.00921209
2023-12-20 00:00:00+00:00,0.00573704
2023-12-21 00:00:00+00:00,0.00269524
2023-12-22 00:00:00+00:00,-0.04384481
2023-12-27 00:00:00+00:00,0.04327145
2023-12-28 00:00:00+00:00,0.05401721
2023-12-29 00:00:00+00:00,-0.00135751
2024-01-02 00:00:00+00:00,-0.03344994
2024-01-03 00:00:00+00:00,-0.02049901
2024-01-04 00:00:00+00:00,0.00622910
2024-01-05 00:00:00+00:00,-0.01234010
2024-01-08 00:00:00+00:00,-0.05080006
2024-01-09 00:00:00+00:00,-0.00908669
2024-01-10 00:00:00+00:00,-0.00784521
2024-01-11 00:00:00+00:00,0.02614027
2024-01-12 00:00:00+00:00,-0.00704731
2024-01-15 00:00:00+00:00,-0.01234807
2024-01-16 00:00:00+00:00,-0.03661126
2024-01-17 00:00:00+00:00,-0.08916037
2024-01-18 00:00:00+00:00,0.01546781
2024-01-19 00:00:00+00:00,-0.01390007
2024-01-22 00:00:00+00:00,-0.04596897
2024-01-23 00:00:00+00:00,0.04795259
2024-01-24 00:00:00+00:00,0.06359144
2024-01-25 00:00:00+00:00,0.03732591
2024-01-26 00:00:00+00:00,-0.04004892
2024-01-29 00:00:00+00:00,0.01602013
2024-01-30 00:00:00+00:00,-0.04828824
2024-01-31 00:00:00+00:00,-0.03378655
2024-02-01 00:00:00+00:00,0.01349486
2024-02-02 00:00:00+00:00,-0.00416039
2024-02-05 00:00:00+00:00,0.00252569
2024-02-06 00:00:00+00:00,0.09633300
2024-02-07 00:00:00+00:00,-0.02420400
2024-02-08 00:00:00+00:00,-0.02136926
2024-02-09 00:00:00+00:00,-0.02383229
2024-02-14 00:00:00+00:00,0.03927505
2024-02-15 00:00:00+00:00,0.00651026
2024-02-16 00:00:00+00:00,0.05222757
2024-02-19 00:00:00+00:00,-0.02818397
2024-02-20 00:00:00+00:00,0.01187944
2024-02-21 00:00:00+00:00,0.04604386
2024-02-22 00:00:00+00:00,0.04608363
2024-02-23 00:00:00+00:00,-0.00205651
2024-02-26 00:00:00+00:00,-0.01362601
2024-02-27 00:00:00+00:00,0.03098426
2024-02-28 00:00:00+00:00,-0.04808843
2024-02-29 00:00:00+00:00,-0.00629347
2024-03-01 00:00:00+00:00,0.02167636
2024-03-04 00:00:00+00:00,-0.00850893
2024-03-05 00:00:00+00:00,-0.05434696
2024-03-06 00:00:00+00:00,0.04477246
2024-03-07 00:00:00+00:00,-0.02370141
2024-03-08 00:00:00+00:00,0.01354505
2024-03-11 00:00:00+00:00,0.03676769
2024-03-12 00:00:00+00:00,0.07027352
2024-03-13 00:00:00+00:00,-0.00786058
2024-03-14 00:00:00+00:00,-0.01108696
2024-03-15 00:00:00+00:00,-0.03076707
2024-03-18 00:00:00+00:00,0.01238737
2024-03-19 00:00:00+00:00,-0.02319676
2024-03-20 00:00:00+00:00,0.00951900
2024-03-21 00:00:00+00:00,0.02986595
2024-03-22 00:00:00+00:00,-0.04779401
2024-03-25 00:00:00+00:00,-0.00101596
2024-03-26 00:00:00+00:00,0.02790602
2024-03-27 00:00:00+00:00,-0.04269299
2024-03-28 00:00:00+00:00,0.02863517
